DESCRIPTION,REST,DRG,DRAWING_ATTACHED,SPECN,ITEM_NO,AMD_NO,SK_NO,ALT,REV,REST_SPECIFICATION,QUANTITY
,,,,,,,,,,,
,VALVE chicago pneumatic air compressor OEM ,,No,,,,,,,Assembly 105 105 3 part 1903254390 ,
,,,,,,,,,,,
,SET OF MAINTAINCE SPARES CONSISTING OF SEVEN ITEMS FOR CHICAGO PNEUMATIC AIR COMPRESSOR SPECIFICATION IS ENCLOSED ,,No,,,,,,,,
,,,,,,,,,,,
,PERMANENT MAGNETIC YOKE WITH LIFTING KGS ALONG WITH TEST CALIBRATION CERTIFICATE SOURCES VALID FOR ONE YEAR SPECIFICATION Minimum lifting capacity maximum pole 18 plus Min pole distance plus minus ,,No,,,,,,,CAPACITY 18 spacing 18 distance 100 minus 10 distance 75 minus 10 ,
,,,,,,,,,,,
,OVERHAULING KIT FOR EMERGENCY APPLICATION VALVE WSF MAKE CONSISTING ITEMS AS PER DETAILED PART LIST attached ,,No,,,,,,,OF 04 ,
,,,,,,,,,,,
,Mattresses foam x coir inches inch Thickness Model KURLON Sleep well DUROFLEX PUREREST NOTE Firm quote mentioned make Offer received brands summarily rejected ,,No,,,,,,,.Size 75 x 36 x 4 coir 03 Foam 01 ,
,,,,,,,,,,,
,Mattresses foam x coir inches inch Thickness Model KURLON Sleep well DUROFLEX PUREREST NOTE Firm quote mentioned make Offer received brands summarily rejected ,,No,,,,,,,.Size 75 x 36 x 4 coir 03 Foam 01 ,
,,,,,,,,,,,
,Multimedia projector storage media port integrated projector XGA ANSI ,,No,,,,,,,Resolution 1024 x 768 Lumen 3000 ,
,,,,,,,,,,,
,Multimedia projector storage media port integrated projector XGA ANSI ,,No,,,,,,,Resolution 1024 x 768 Lumen 3000 ,
,,,,,,,,,,,
,Mattresses foam x coir inches inch Thickness Model KURLON Sleep well DUROFLEX PUREREST NOTE Firm quote mentioned make Offer received brands summarily rejected ,,No,,,,,,,.Size 75 x 36 x 4 coir 03 Foam 01 ,
,,,,,,,,,,,
,Zero Friction Mono Rail System As per enclosed specification terms condition drawing ,,Yes,,,,,,,,
,,,,,,,,,,,
,Stainless Steel Inlays Western Style lavatory Note Participate tender valid approved ICF Vendors ,Drg No ICF/STD-4-1-002 ,No,,,,,alt x/2 ,,,
,,,,,,,,,,,
,Lower Spring Beam arrangement SG AC coaches ,Drg No WLRRM-0-5-006 ,No,,,,,Alt-e ,,,
,,,,,,,,,,,
,PERMANENT MAGNETIC YOKE WITH LIFTING KGS ALONG WITH TEST CALIBRATION CERTIFICATE SOURCES VALID FOR ONE YEAR SPECIFICATION Minimum lifting capacity maximum pole 18 plus Min pole distance plus minus 10 ,,No,,,,,,,CAPACITY 18 spacing 18 distance 100 minus 10 distance 75 minus 10 ,
,,,,,,,,,,,
,Combined set pf tools coaching stock maintenance specification attached ,,No,,,,,,,,
,,,,,,,,,,,
,ISI marked dry wet bulb type psychrometer per Grade A ,,No,,,,,,,IS 5725 IS 1970 ,
,,,,,,,,,,,
,Centre pivot pin shackle lock lock pin washer BLC wagon per ,Drg No CONTR-9404-,No,,"Item Nos.2,3,4,5 ",,,Alt.1 ,,RDSO 8 ,
,,,,,,,,,,,
,inch flexible hose adaptor ESCORTS ,Drg.No 3,No,,,,,,,similar 1 similar 4 KB 5236 ,
,,,,,,,,,,,
,Waste paper basket plastic upper bottom dia cms cms upper frame width thickness sheet mesh portion ,,No,,,,,,,dia 27 dia 19 height 30 flat 1 minimum 2 upto 3 upto 4 ,
,,,,,,,,,,,
,GM valve screwed ends ISI marked Specifications A INSIDE LIFT TYPE GUN METAL LEADED IN BRONZE OR BRASS ,,No,,,,,,,per 778 Size 20 SIZE 20 CLASS 1 ,
,,,,,,,,,,,
,Hand Brake Wheel BOXNHL wagon ,Drg.No WD-05086-,No,,,,,Alt-5 ,,RDSO 10 Item 33 Ref 96031 Ref 01 ,
,,,,,,,,,,,
,Pallet Rack F type shown As per enclosed specification ,DRG NO SCR/LGD/M P/DRG No.0159 ,No,,,,,,,,
,,,,,,,,,,,
,Distributor valve complete BLC latest Appendix ,Drg.No.CONTR-9405 ,No,Specn.No.02-ABR-02 A1 ,Item No.20 ,Amendment No.3 ,,Alt 11 ,,Wagon 13 ,
,,,,,,,,,,,
,Flat chisel length cutting Taparia make equivalent Everest Mekaster makes ,,No,,,,,,,per 5663 per 1970 IS 402 IS 1990 Product .1046 Size 150 edge 20 ,
,,,,,,,,,,,
,Supply steel gauge powder coated paint feet height feet length x 18 1/2 inches width provision five shelves ,,No,,,,,,,almarah 18 size 6 6 1 6 2 x 3 x 18 18 1 18 2 ,
,,,,,,,,,,,
,Hammer handle ball pein type pounds Taparia make equivalent Everest Mekaster makes ,,No,,,,,,,per 841 per 1983 Product 800 No.WH-800B/C 2 approx 800 ,
,,,,,,,,,,,
,Gun Metal valve screwed female ends ISI integral seat inside lift type Gun metal leaded bronze brass ,,No,,,,,,,per 778 marked 25 size 25 type 1 ,
,,,,,,,,,,,
,BOGIE BOLSTER ARRANGEMENT FOR COACHES TO Note Approved sources considered ,DRG NO.DMU/DPC-0-4-001 ,No,,,,,ALT-m/8 ,,DEMU 700 ,
,,,,,,,,,,,
,BOGIE BOLSTER ARRANGEMENT FOR COACHES TO Note Approved sources considered ,DRG NO.DMU/DPC-0-4-001 ,No,,,,,ALT-m/8 ,,DEMU 700 ,
,,,,,,,,,,,
,BOGIE FRAME ARRANGEMENT FOR AIR SPRING SUSPENSION BOGIE FOR AERO DYNAMIC COACHES TO Note Approved sources considered ,DRG NO.DMU/DPC5-0-3-501 ,No,,,,,ALT-w/5 ,,DEMU 1400 ,
,,,,,,,,,,,
,BOGIE BOLSTER ARRANGEMENT FOR AIR SPRING BOGIE WITH STRAIGHT WEBS FOR AERO DYNAMIC COACHES TO BOGIE BOLSTER ARRANGEMENT FOR AIR SPRING BOGIE WITH STRAIGHT WEBS FOR DEMU 1400hp-NON AERO DYNAMIC COACHES TO ICF COL-I Note Approved sources considered ,DRG NO DMU/DPC5-0-4 -- 094 ,No,,,,,,,DEMU 1400 DEMU 1400 ,
,,,,,,,,,,,
,Supply steel gauge powder coated paint feet height feet length x 18 1/2 inches width provision five shelves ,,No,,,,,,,almarah 18 size 6 6 1 6 2 x 3 x 18 18 1 18 2 ,
,,,,,,,,,,,
,Supply installation commissioning Kitchen hood Kitchen chimney along required material installation Model SL SKU Prestige similar Make Prestige Gilma Sunflame Hindware ,,No,,,,,,,AKH 900 Code 41615 ,
,,,,,,,,,,,
,Supply installation commissioning Kitchen hood Kitchen chimney along required material installation Model SL SKU Prestige similar Make Prestige Gilma Sunflame Hindware ,,No,,,,,,,AKH 900 Code 41615 ,
,,,,,,,,,,,
,Front Half Open Cage Pallet shown As per enclosed specification ,DRG SCR/LGD/M P/DRG No.0155 ,No,,,,,,,,
,,,,,,,,,,,
,Supply installation commissioning Kitchen hood Kitchen chimney along required material installation Model SL SKU Prestige similar Make Prestige Gilma Sunflame Hindware ,,No,,,,,,,AKH 900 Code 41615 ,
,,,,,,,,,,,
,Short Body Bib cock per Jaquar Model Hindware Foam type ,,No,,,,,,,No 54 ,
,,,,,,,,,,,
,Integrated Test Bench Air Spring Suspension Control Equipment Leveling valve Duplex check valve As Per enclosed specification ,,No,,,,,,,,
,,,,,,,,,,,
,POH KIT FOR APPLICATION AND HOLDING MAGNET VALVE WSF MAKE EP BRAKE VALVE CONSISTING OF ITEMS AS PER DETAILED PART LIST MENTIONED OVERLEAF ,,No,,,,,,,OF 12 ,
,,,,,,,,,,,
,Combination insulated pliers Sleeve Taparia make equivalent Everest Mekaster makes ,,No,,,,,,,per 3650 per 1981 Design .178415 Product .1621 Product 8 Size 8 8 210 ,
,,,,,,,,,,,
,Snubber Spring BLC TO ,Drg.No.CNTR 9404-,No,Specn.WD-01-HLS-94 S-7 ,,,,,,IS 3195 3195 .52 GR.52 .4 CR.4 2 ,
,,,,,,,,,,,
,Rail Jumper clamp metres copper cable per ,Drg.No.RE/DNR/EL/TP/07 ,No,,,,,,,ends 13 ,
,,,,,,,,,,,
,Rail Jumper clamp metres copper cable per ,Drg.No.RE/DNR/EL/TP/07 ,No,,,,,,,ends 13 ,
,,,,,,,,,,,
,Supply installation commissioning Kitchen hood Kitchen chimney along required material installation Model SL SKU Prestige similar Make Prestige Gilma Sunflame Hindware ,,No,,,,,,,AKH 900 Code 41615 ,
,,,,,,,,,,,
,Set components required assembly porcelain commode Set ICF items rubber special Hexagonal pipe 2 4 steel ferrule Item ,Drg.No ICF/DEV/SK-6-3-160 ,No,,,,SK-6-3-225 ,,,"consisting 4 items 4 items 5 items 6 items 7 4,5,6,7 1 bush 1 drg.no.Item-1 2 pipe 20 drg 6 drg 3 drg 226 No..ICF/SK-6-3-226 1 Item1 3 drg.no 6 drg.no 3 drg.no 226 Item 2 2 4 dia 55 dia 3.2 Drg.No 6 Drg.No 3 Drg.No 160 Item 7 ",
,,,,,,,,,,,
,Screw transparent green handle blade dia Taparia make equivalent Everest Mekaster ,,No,,,,,,,per 844 per 1979 Design .177211 Product .829 Size 300 x 8 ,
,,,,,,,,,,,
,ltrs capacity Wet HP Motor Make Laxmi Santha MODEL TYPE 10 STONES WARRANTY ONE PHASE DRUM MATERIAL STAINLESS COLOUR ,,No,,,,,,,WHITE 10 grinder 1.5 Specification 1 CONVENTIONAL 2 CAPACITY 10 LTRS 3 ONE 4 YEAR 5 THREE 6 STEEL 7 ,
,,,,,,,,,,,
,Supply steel gauge powder coated paint feet height feet length x 18 1/2 inches width provision five shelves ,,No,,,,,,,almarah 18 size 6 6 1 6 2 x 3 x 18 18 1 18 2 ,
,,,,,,,,,,,
,ISI marked valve Make ZOLOTO LEADER AUDCO HB b Body Leaded Tin leaded tin integral female Type ,,No,,,,,,,confirming 778 a.size 40 ,
,,,,,,,,,,,
,set consumables suitable LPH RO plants SNF BIDR PRLI crew lobbies Each set Carbon filter 04 nos 12 nos ,,No,,,,,,,existing 50 consisting 1 Fitter 12 12 2 filter 04 nos 3 filter 04 nos 4 Scalant 12 ,
,,,,,,,,,,,
,SAB A dimension gauge Material tool HRC ,,No,,,,,,,size 70 70mm 71 71mm 72 steel 3748 steel 90 IS:3748/90 50 IS:3748/90 55 ,
,,,,,,,,,,,
,Foldabe bottle holder ICF ,Drg.No ICF/STD-4-018 ,No,,,,,Alt.h/3 ,,,
,,,,,,,,,,,
,BOGIE FRAME ARRANGEMENT FOR COACHES TO ,DRG NO DMU/DPC-0-3-009 ,No,,,,,ALT-F ,,DEMU 700 ,
,,,,,,,,,,,
,BOGIE FRAME ARRANGEMENT FOR COACHES TO BOGIE FRAME ARRANGEMENT FOR DEMU 700hp COACHES TO ICF COL-I approved sources concedered ,DRG NO DMU/DPC-0-3-009 ,No,,,,,,,DEMU 700 DEMU 700 ,
,,,,,,,,,,,
,BOGIE FRAME ARRANGEMENT FOR COACHES TO BOGIE FRAME ARRANGEMENT FOR DEMU 700hp COACHES TO ICF COL-I approved sources considered ,DRG NO.DMU/DPC-O-3-009 ,No,,,,,,,DEMU 700 DEMU 700 ,
,,,,,,,,,,,
,ASSEMBLY OF NOSE SUSPENSION DEVICE DEMU COACH MOTOR SUSPENSION UNIT TO CGL PART OR BHEL PART NO ,,No,,,,,,,FOR 1400 NO 760242272 NO 428150001 ,
,,,,,,,,,,,
,ISI Marked Vertical NRV Check Valve confirming following specifications b integral seat c Screwed type e lift type ,,No,,,,,,,IS 778 IS 1984 size 15 class 1 ,
,,,,,,,,,,,
,RECHARGEABLE BATTERY SUITABLE WATT WALKIE TALKIE MODEL NO VHF SET MAKE TID HYT MOTOROLA ,,No,,,,,,,KENWOOD 7.2 VOLT 2300 FOR 5 TD-V 30 ,
,,,,,,,,,,,
,TARE TIE ROD GAUGE BLL WAGON MM MATERIAL TOOL STEEL TO HRC ,,No,,,,,,,SIZE 920 IS 3748 IS 90 HARDNESS- 50 HARDNESS- 55 ,
,,,,,,,,,,,
,Wash basin ceramic wall hung type L W X H similar RAASI cat west coupling Colour White ,,No,,,,,,,size 460 X 340 X 180 No 81036 ,
,,,,,,,,,,,
,Double acting air cylinder door operating mechanism BOBRN Wagons per Terms months date Manual To Shall seal pack jointly opened tested presence new instrument case repairable warranty period ,Drg.No.WD-92081-,No,,,,,Alt.1 ,,RDSO 54 condition 1 Warranty 12 supply 2 supplied 3 consignee 4 ,
,,,,,,,,,,,
,Polythene garbage cover inches microns thickness specification per CPCB APPCB guide lines ,,No,,,,,,,size 24 x 36 inches 40 ,
,,,,,,,,,,,
,Liner set sider bearer BLC latest ,Drg No.CONTR-9404-,No,,"Item Nos 4,5 6 7 ",,,Alt.12 ,,wagon 15 ,
,,,,,,,,,,,
,TARE TIE ROD GAUGE BILL WAGON MATERIAL TOOL STEEL TO ,,No,,,,,,,SIZE 916 IS 3748 IS 90 HARDNESS 50 HARDNESS 55 ,
,,,,,,,,,,,
,Zero Friction Mono Rail System As per enclosed specification terms condition drawing ,,Yes,,,,,,,,
,,,,,,,,,,,
,BOGIE FRAME ARRANGEMENT FOR COACHES TO ,DRG NO.DMU/DPC-O-3-009 ,No,,,,,ALT-f ,,DEMU 700 ,
,,,,,,,,,,,
,Integrated Test Bench Air Spring Suspension Control Equipment Leveling valve Duplex check valve As Per enclosed specification ,,No,,,,,,,,
,,,,,,,,,,,
,Integrated Test Bench Air Spring Suspension Control Equipment Leveling valve Duplex check valve As Per enclosed specification ,,No,,,,,,,,
,,,,,,,,,,,
,TOILET DOOR RUBBER STOPPER AS PER ,DRG NO ICF/STD-6-3-018 ,No,,,,,,,,
,,,,,,,,,,,
,Reducing valve double check valve assembly BLC wagons Specification As per faiveley part ,,No,,,,,,,similar 1 No 780268900 ,
,,,,,,,,,,,
,Mixer grinder equivalent model stallion Kenstar equivalent 600 working jars stainless steel blades Make Kenstar philips usha lexus ,,No,,,,,,,DX 600 Specification 600 voltage 230 volt 50 c. 3 ,
,,,,,,,,,,,
,PTMT piller cock foam flow type Italian series Make PRAYAG BLUES WATERFALL model Blues model ,,No,,,,,,,size 15 cat 130 No 100 model .55 ,
,,,,,,,,,,,
,Clamping arrangement Securing Air Brake Pipes Bogie Frame items per detailed part list drawing numbers mentioned overleaf ,,Yes,,,,,,,consisting 04 ,
,,,,,,,,,,,
,Galvd clamping flush pipes ICF ,Drg No FC-6-3-055 ,No,,,,,Alt-p/43 ,,Bracket 3.15 Bracket 30 Bracket 259 Item 8 ,
,,,,,,,,,,,
,Flap Door Chainless cotter BOXNHL wagon RDSO ,Drg.No.W/DW-297 ,No,,,,,ALT.1 ,,,
,,,,,,,,,,,
,steam iron box Philips make Philips Bajaj USHA lexus ,,No,,,,,,,model .1920 ,
,,,,,,,,,,,
,Stainless steel Commercial mug chain rings Stainless steel Commercial quality SS304 mug chain rings ICF ,Drg No ICF/SK-6-3-481 ,No,,,,,,,quality 304 quality 304 Col-I 1 items-1 6 6 7 ,
,,,,,,,,,,,
,POH KIT FOR APPLICATION AND HOLDING MAGNET VALVE WSF MAKE EP BRAKE VALVE CONSISTING OF ITEMS AS PER DETAILED PART LIST MENTIONED OVERLEAF ,,No,,,,,,,OF 12 ,
,,,,,,,,,,,
,Wearing plate side bearer latest ,Drg.No T-0-5-648 ,No,,,,,,,,
,,,,,,,,,,,
,Hardwood packing feet feet x 2 inch recessed ends width x strip make ,,No,,,,,,,size 2 x 1 x 2 bonded 25 x 4 ,
,,,,,,,,,,,
,Hard packing feet x inch recessed ends width x strip Make wood ,,No,,,,,,,size 2 x 1 x 12 bonded 25 x 4 ,
,,,,,,,,,,,
,Hard packing feet x 1 inch recessed ends width x strip Make wood ,,No,,,,,,,size 2 x 1 x 1 bonded 25 x 4 ,
,,,,,,,,,,,
,Supply fixing testing intermediate worn wheel flange thickness checking gauges CNC surface wheel lathe The detailed particulars set attached ,,No,,,,,,,"profiles 21 profiles 23 profiles 24 profiles 26 21,23,24,26 28 ",
,,,,,,,,,,,
,Hard packing feet x inch recessed ends width x strip Make wood ,,No,,,,,,,size 2 x 1 x 4 bonded 25 x 4 ,
,,,,,,,,,,,
,Hard packing feet x inch recessed ends width x strip Make wood ,,No,,,,,,,size 3 x 1 x 12 bonded 25 x 4 ,
,,,,,,,,,,,
,OVERHAULING KIT FOR EMERGENCY APPLICATION VALVE WSF MAKE CONSISTING ITEMS AS PER DETAILED PART LIST attached ,,No,,,,,,,OF 04 ,
,,,,,,,,,,,
,Male thread connector C per RDSO outer dia composite internal seal fitting similar KITEC make ,,No,,,,SK-K2029 ,,,size 1216 x 1 x 2 NOTE .4 Specification 12 inner 16 ,
,,,,,,,,,,,
,Supply conductor Berth ICF procured RDSO Approved sources per vendor Note Offers RDSO Approved sources considered ,Drg.No WGSCWAC-6-1-029 ,No,,item No 65 ,,,,,directory .7 directory .1 directory .1 page 57 57 221 ,
,,,,,,,,,,,
,Supply fixing testing intermediate worn wheel flange thickness checking gauges CNC surface wheel lathe The detailed particulars set flange thickness worn wheel profile 21mm flange thickness worn wheel profile checking gauge LH-01no RH-01 flange thickness worn wheel profile gauge LH-01no RH-01 23mm flange thickness worn wheel profile checking gauge LH-01no . RH-01 flange thickness worn wheel profile gauge LH-01no RH-01 24mm flange thickness worn wheel profile checking gauge LH-01no . RH-01 flange thickness worn wheel profile gauge LH-01no RH-01 flange thickness worn wheel profile checking gauge LH-01no . RH-01 flange thickness worn wheel profile gauge LH-01no RH-01 28mm flange thickness worn wheel profile checking gauge LH-01no . RH-01 ,,No,,,,,,,"profiles 21 profiles 23 profiles 24 profiles 26 21,23,24,26 28 mentioned 1 1 21 gauge 01 LH-01no 01 RH-01 21 gauge 01 . 01 RH-01 2 2 23 gauge 01 LH-01no 01 RH-01 23 gauge 01 . 01 RH-01 3 3 24 gauge 01 LH-01no 01 RH-01 24 gauge 01 . 01 RH-01 4 4 .26 gauge 01 LH-01no 01 RH-01 26 gauge 01 . 01 RH-01 5 5 .28 gauge 01 LH-01no 01 RH-01 28 gauge 01 . 01 ",
,,,,,,,,,,,
,BRACKET FOR ANCHOR LINK TO ICF ,DRG NO T-0-4-613.,No,,,,,,,II.AIT-q 10 ,
,,,,,,,,,,,
,POH Kit isolating valve reducing valve WSF make Brake Valve Set Hardware Items per detailed list attached sent mail mail ID ,,No,,,,,,,consists 29 ,
,,,,,,,,,,,
,POH kit EP brake valve Air portion hard ware WSF Washer splinded Spring friction device No No Cam Roller Part -01 No Exhaust Choke Part No 01 No Oil retaining bush valve body lower Part 01 No Insulating strip Part No 01 No Insulating base Part No -01 No Double contact Part No 01 No ,,No,,,,,,,Set 08 make 1 shaft 70294 shaft 1 A70294/1- 01 No 2 No 87824 No 31 A87824/31 01 No 3 Part 701181 Part 1 No.J701181/1 01 No 4 A 70205 A 117 70205/117- 01 No 5 No.IA 70319 70319- 01 No 6 No 88617 No 1 A88617/1 01 No 7 No 88615 No 1 A88615/1 01 No 8 No 88616 No 1 A88616/1 01 ,
,,,,,,,,,,,
,G type door gear complete set Aluminium top amount feet 2 Sliding door fitting Ball bearing type ,,No,,,,,,,consisting 2 items 1 channel 2 thickness 6 length 2 ,
,,,,,,,,,,,
,POH kit Equalising discharge WSF make items per detailed part list given annexure mailed mail id ,,No,,,,,,,set 22 ,
,,,,,,,,,,,
,Horn suitable Elgi make Part equivalent ,,No,,,,,,,No 07026 ,
,,,,,,,,,,,
,PTFE Sealing ring ball ,Drg.No.CG-11089 ,No,,,,,Alt.2 ,,valve 5 RDSO 6 ,
,,,,,,,,,,,
,TOILET DOOR RUBBER STOPPER AS PER ,DRG NO ICF/STD-6-3-018 ,No,,,,,,,,
,,,,,,,,,,,
,Supply Fitment Thread Chaser inches dia Lock Plate inches dia complete Thread Chaser set suitable Threading Continental Machine Tools Machine Tools Details given attachement mailed email ID likely sources ,,No,,,,,,,aChuck 12 Szie 10 Machine 3 Mode3l 50 ,
,,,,,,,,,,,
,BATTERY BOX COMPLETE FOR MAINTENANCE FREE BATTERIES VRLA BATTERIES NPP SIDE FOR SG AC COACHES TO RCF ,DRG NO CC 91170 ,No,,,,,ALT-F ,,,
,,,,,,,,,,,
,structural adhesive ,,No,,,,,,,Anabond 540 ,
,,,,,,,,,,,
,Back rest cum berth holding bracket smooth finish chromium plated CN coaches SCR ,Drg No PD/TPYS/SCR Drg No C W-99 ,No,,,,,Alt Nil ,,,
,,,,,,,,,,,
,Horn suitable Elgi make Part equivalent ,,No,,,,,,,No 007027 ,
,,,,,,,,,,,
,head bolt complete tanks conventional SG Coaches SS.Hex M8 IS:1364 percent u2013 3 Spring ,,No,,,,,,,consisting 3 items 1 SS.Hex.Bolt 8 x 25 percent 2013 u2013 5.6 5.6 1364 IS:1364 1 CE 2 Nut 8 M8 2 M8 70 A2-70 1367 IS:1367 14 Part-14 1364 IS:1364 3 percent 2013 u2013 2002 2002 3 washer 8 IS 3063 IS 1994 Coating 057 ,
,,,,,,,,,,,
,SUPPLY STITCHING CURTAIN CLOTH EQUIVALENT TO GM MAKE COLLECTION DECCAN WITH HIGHLET MODEL AS PER SAMPLE AVAILABLE IN THE OFFICE OF INCHES Dimensions attached ,,No,,,,,,,WIDTH 48 ,
,,,,,,,,,,,
,Chain HAND BRAKE UNIT arrangement inks link ktotal length per ICF confirming Specification IS ,Drg.No ICF/SR/DMU/TC/E-3-4-007 ,No,,,,,,,consisting 5 dia 20 length 60 chain 340 IS 6216 IS 1982 Gr.T 8 ,
,,,,,,,,,,,
,Pulley Foot mounted auxiliary Pulley Foot mounted auxiliary alternator DEMU DPC suitable KEL Type KEL A Groove Type spares ,,No,,,,,,,Part 1006 A 18.5 KW 6 percent 7 ,
,,,,,,,,,,,
,Bottom Nylon guide sliding door SLR Coaches RCF ,drg.No LB 58132 ,No,,,,,Alt -Nil ,,,
,,,,,,,,,,,
,Lower Rubber Washer Axle Box Guide Arrangement ,Drg No EMU/M-0-1-008 ,No,,,,,Alt -s/6 ,,Item 1 ,
,,,,,,,,,,,
,Rain coat Polyester Nylon rubberized inside layer consisting Pant Shirt hood Colour size As per requirement consignee Make Duck back Rainbow Rastro Adidas ,,No,,,,,,,,
,,,,,,,,,,,
,FENNER POLYF V BELT similar suitable Chicago Air Compressor ,,No,,,,,,,MODEL 3550 ,
,,,,,,,,,,,
,Center pivot liner BLC Wagon ,Drg.No CONTR 9404-,No,,Item No.3 ,,,Alt-8 ,,RDSO 5 ,
,,,,,,,,,,,
,Pad Lock one time lock made hard plastic moulded rectangular cuboid internal permanent locking arrangement steel rod per drawing ,Drg SSE/C W/SC/SK-001 ,Yes,,,,,,,,
,,,,,,,,,,,
,MODIFIED RESTRICTOR ON CBC FOR SLR AS PER RDSO DRAWING NO MATERIAL Gr ,,Yes,,,,,,,CG 10063 IS 8500 8500 1991 Fe 540 ,
,,,,,,,,,,,
,Toner cartridge suitable canon printer Toner canon Copiers Similar Note Delivery phased Manner No Supply five months Balance Toner cartridge suitable canon printer NPG 59 Toner canon Copiers IR 2002 Similar Note Delivery phased Manner first 03 No Supply five months Balance qty Supply To procured authorized dealers ,,No,,,,,,,NPG 59 IR 2002 first 03 NPG 59 IR 2002 first 03 ,
,,,,,,,,,,,
,Polyster heavy duty Road endless sling tones meters anti abrasive cover along OEMs test certificate Make Slingset Samson Ferre terro Spanset ,,No,,,,,,,capacity 03 length 1.8 ratio 5 ratio 1 ,
,,,,,,,,,,,
,Bogie frame arrangement EMU Trailer KN Air spring ,Drg No ICF/MRVC/D-0-3-001 ,No,,,,,alt-1 ,,Coaches 180 Coaches 150 ICF 1 ,
,,,,,,,,,,,
,Diffuser complete FTL fitting LHB coaches RCF Drawing ,,Yes,,,,,Alt B ,,LW 76012 ,
,,,,,,,,,,,
,Office Table Similar Godrej Make CPU Nilkamal Featherlite Dimensions Width b Depth Height Table Should Provided Wooden modesty panel b Slots top frame passage c. A CPU hanger Should drawer unit lock ADC required ,,No,,,,,,,Modal .1500 Specifications 1 W 1500 D 750 H 728 728mm 2 contain 03 facility 3 ,
,,,,,,,,,,,
,Supply Installation Electrical Gantry Tons Capacity INDEF Make Model Similar Features Hoist Planetary gear box smooth low noise Compact gear box inside Gear Overload Rugged ring type rope Optional rotary limit Electronic magnetic brake Seamless tube drums Description 1 7.5 2 3 Drum 4 Class 5 6 Wire rope 7 Hoisting 8 Hoisting motor KW Travelling speed Travelling motor Head Flange ISMB Approx Weight Hoist 15 Approx weight Scope supply include 1 Trolley 2 Bogie trolley 3 Geared Rotary limit switch including erection commissioning 4 CT limit switch 5 master 6 7 Festooning ADC required standard M P conditions applicable M P Condition attached ,,No,,,,,,,Hoist 7.5 No 4 M 1 Hoist 1 operation 2 drum 3 coupling 4 sensor 5 guide 6 switch 7 motor 8 Unit 1 SWL 7.5 Ton 2 Lift 10.5 10.5Mtr 3 length 695 695mm 4 II 5 falls 2 2falls 6 dia 18 18mm 7 speed 8.2 8.2mtr/min 8 KW 15 KW 9 speed 17 17mtr/min 10 motor 0.55 0.55KW 02 02 11 room 1860 1860mm 12 width 125 width 210 125-210mm 13 min 250 min 600 250-600mm 14 Hoist 480 480kg 15 trolley 140 following 1 Brake 2 trolley 3 commissioning 4 switch 5 contactor 6 P.B 7 cable 20 ,
,,,,,,,,,,,
,Double offset high performance butterfly valve Body Cast carbon steel GR WCB Seat UHMWPE seat Retainer Gear operated per RDSO ,Drg WD 07054/,No,,Item No.8 ,,,Alt- Nil.,,ASTM 216 Ring 304 size 350 S 14 ,
,,,,,,,,,,,
,Striker casting Bogie container flat latest ,Drg.No RITES/TP-9405 ,No,,Item No.7 ,,,Alt 9 ,,per 9405 RITES/TP-9405 001 latest 002 Ref.S-002 3 ,
,,,,,,,,,,,
,EQUALISING LEVER FOR A CAR FOR BLC WAGON TO ,DRG.NO CONTR-9404-,No,,,,,ALT-10 ,,RDSO 10 S-10 1 ,
,,,,,,,,,,,
,Tie Rod B latest Ref Drg No latest ,Drg No CONTR 9406-,No,,Item No.2 ,,,Alt 7 ,,Car 7 CONTR 9405 CONTR 11 Item .2 No.2 7 ,
,,,,,,,,,,,
,Pull Rod Main For B ,Drg.No CONTR-9406-,No,,Item No.4 ,,,Alt.7 ,,Car 7 Drg.No 9405 Drg.No 11 Item .3 No.3 .7 ,
,,,,,,,,,,,
,EQUALISING LEVER B CAR FOR BLC WAGON TO ,DRG.NO.CONTR-9404-,No,,,,,ALT-10 ,,RDSO 10 S-10 2 ,
,,,,,,,,,,,
,Side bearer coil spring BLC wagons ,Drg No CONTR 9404- ,No,,,,,Alt 11 ,,RDSO 15 Item 3 ,
,,,,,,,,,,,
,Bogie number indication Plate zinc coated x thick Letter size height ,,No,,,,,,,size 110 x 40 x 3 engraving 0001 LG-0001 3000 size 10 ,
,,,,,,,,,,,
,Front support Coupler body CBC Part Faiveley ,,No,,,,,,,No 727857000 ,
,,,,,,,,,,,
,Frame CPL supporting Device CBC Part Faiveley ,,No,,,,,,,No 727822000 ,
,,,,,,,,,,,
,Beam CPL Supporting device CBC Part Faiveley ,,No,,,,,,,No 727812000 ,
,,,,,,,,,,,
,Set Spares Air Compressor Make GARDNER Set Spares Air Compressor Make GARDNER DENVER LB30 item Air filter element air compressor OEM product Make GARDNER DENVER LB30 item filter Cartridge air compressor OEM product code Make GARDNER DENVER Model LB30 Quantity:01 item Air filter element air compressor OEM product code QX104555 Make GARDNER DENVER Model LB30 Quantity:01 item Oil litres air compressor OEM product code Make GARDNER DENVER Model LB30 Quantity:01 CAN ,,No,,,,,,,DENVER 30 DENVER 30 LB30 1 code 104555 Model 30 LB30 01 Quantity:01 2 code 11381974 Model 30 LB30 01 Quantity:01 3 code 104555 Model 30 LB30 01 Quantity:01 4 Oil 20 code 1119981 Model 30 LB30 01 ,
,,,,,,,,,,,
