SPEC_NUMBER,SK_NUMBER,AMENDMENT_NO,DRG._NUMBER,QUANTITY,ITEM_NUMBER,ALT_NUMBER,REV_NUMBER,DRAWING_ATTACHED,OTHER_SPECIFICATION,REST_DATA
,,,DRG NO.DMU/DPC-0-4-001 ,,,ALT-m/8 ,,No,DEMU 700 ,BOGIE BOLSTER ARRANGEMENT FOR COACHES TO Note Approved sources considered 
,,,Drg.No.WD-92081-,,,Alt-10 ,,No,wagon 57 s-57 12 ,Nut lock BOBRN 
,SK-6-3-446 ,,Drg.No.ICF/SK-6-3-446 Col.I,,,Alt-c/nil ,,No,,Supply stainless steel auxiliary roof water tank AC Coaches roof mounted AC package unit ICF 
,,,,,,,,No,size 6 x 1 x 12 bonded 25 x 4 ,Hard packing feet x inch recessed ends width x strip make wood 
,,,Drg.No CONTR 9404-,,Item No.3 ,Alt-8 ,,No,RDSO 5 ,Center pivot liner BLC Wagon 
,,,Drg.No.CONTR 9404-,,Item No.4 ,Alt-8 ,,No,wagon 5 ,Center pivot ring BLC 
,,,Drg.No WGSCWAC-6-1-029 ,,item No 65 ,,,No,directory .7 directory .1 directory .1 page 57 57 221 ,Supply conductor Berth ICF procured RDSO Approved sources per vendor Note Offers RDSO Approved sources considered 
,,,,,,,,No,size 0.61 x 15 Specification 1 material 2 Dia 0.6 0.6 3 base 2 2 4 Thickness 12 minus 2 ,Poly Grass mat type red colour meter meters per roll make Duro soft PVC Synthaeic loop 2 Total Thickness Approx plus 2 
,,,,,,,,No,MAKE 1 MAKE 2 OF 03 ,POH KIT FOR WSF INCH SOFT SEATED CHECK VALVE CONSISTING ITEMS AS PER THE DETAILED PART LIST MENTIONED attachment 
,,,,,,,,No,canon 3500 ,Toner cartridge suitable Printer 
,SK-K2029 ,,,,,,,No,size 1216 x 1 x 2 NOTE .4 Specification 12 Dia 16 ,Female elbow C per RDSO inner outer dia composite internal seal fitting similar KITEC make 
,,,,,,,,No,size 6 x 1 x 12 bonded 25 x 4 ,Hard packing feet x inch recessed ends width x strip make wood 
,,,,,,,,No,consisting 20 ,Maintenance Kit WSF Make EP Brake controller items per attachement 
,,,,,,,,No,Epson 2190 LQ2190 24 pins 3 Directional 1 1 5 ,Printer model copies equipment specifications attached 
,,,,,,,,No,size 5 x 25 ,Aluminum flat face head rivet 
,,,Drg.No -WLRRM-0-4-003 ,,,Alt-f/4 ,,No,,Bogie Bolster Arrangement AC Coaches 
,,,,,,,,No,No 414667 Machine 1036 RA 108 ,Bare wheel Assembly CW NESCO part suitable coil spring shot peening MAKE NESCO 
,,,,,,,,No,OF 6 OF 23 ,MAINTENANCE KIT FOR WSF MAKE FEED VALVE PRV TYPE F WSF MAKE EP BRAKE CONTROLLER CONSISTING OF ITEMS AS PER DETAILED PART LIST per attachment 
,,,,,,,,No,OF 04 ,OVERHAULING KIT FOR EMERGENCY APPLICATION VALVE WSF MAKE CONSISTING ITEMS AS PER DETAILED PART LIST attached 
,,,,,,,,No,MAKE 1 MAKE 2 OF 03 ,POH KIT FOR WSF INCH SOFT SEATED CHECK VALVE CONSISTING ITEMS AS PER THE DETAILED PART LIST MENTIONED attachment 
,,,,,,,,No,Part .02009564 Model 300 ,Piston shaft Automatic Torque converter transmission suit Godrej use Godrej Fork Lift trucks 
,,,,,,,,No,OF 6 OF 23 ,MAINTENANCE KIT FOR WSF MAKE FEED VALVE PRV TYPE F WSF MAKE EP BRAKE CONTROLLER CONSISTING OF ITEMS AS PER DETAILED PART LIST per attachment 
,,,,,,,,No,pulley 8 dia 28 Bore 8 Bore 4 Bore 225 No 5755 Model 1036 RA 108 ,HKE Variable speed spring key NESCO part suitable coil spring shot peening Machine MAKE NESCO 
,,,,,,,,No,size 900 IS 3748 IS 90 hardness 50 hardness 55 ,Tare tie rod BLC Wagon material tool steel HRC 
,,,,,,,,No,size 920 steel 3748 steel 90 Hardness 50 Hardness 55 ,Tare tie rod gauge loaded condition material tool HRC 
,,,,,,,,No,size 890 IS 3748 IS 90 hardness 50 hardness 55 ,Tare tie rod gauge Empty condition material tool steel HRC supply calibration certificate NABL approved lab 
,,,,,,,,No,WIDTH 48 ,SUPPLY STITCHING CURTAIN CLOTH EQUIVALENT TO GM MAKE COLLECTION DECCAN WITH HIGHLET MODEL AS PER SAMPLE AVAILABLE IN THE OFFICE OF INCHES Dimensions attached 
,,,Drg No CDO/HYB/PANTRY/001/2015 ,,,,,Yes,L 610 W 610 H 191 thickness 0.6 ,Fabricated GI box size x X Material GI per Drawing attached 
,,,,,,,,No,KEYS 4 SIZE 35 BIS 15275 BIS 2003 ,LOCK PAD IRON GALVANISED WITH NON INTER CHANGEABLE DUPLICATE LEVERS ON A STEEL RING CONFIRMING TO TYPE II WITH RLY INITIALS SCR IN HINDI AND ENGLISH 
,,,,,,,,No,KEYS 4 SIZE 50 TO 15275 TO 2003 ,LOCK PAD IRON GALVANISED WITH NON INTER CHANGEABLE DUPLICATE LEVERS ON A STEEL RING CONFIRMING TYPE II WITH RLY INITIALS SCR IN HINDI AND ENGLISH 
,,,,,,,,No,size 910 IS 3748 IS 90 hardness 50 hardness 55 ,Tare tie rod BLC Wagon material tool steel HRC Supply calibration certificate NABL approved lab 
,,,,,,,,No,N 555 N 600 IS 3748 IS 90 Hardness 50 Hardness 55 ,SAB E dimension gauge suitable BOX material tool steel HRC 
,,,,,,,,No,,SET OF MAINTAINCE SPARES CONSISTING OF SEVEN ITEMS FOR CHICAGO PNEUMATIC AIR COMPRESSOR SPECIFICATION IS ENCLOSED 
,,,Drg.No.M/C W/LTT/14 ,,,,,No,,Flushing pipe suitable push type flusher valve 
,,,Drg.No CDO/HYB/MT-01 ,,,,,No,,Manufacturing supply hatch water tap modular toilets per 
,,,,,,,,No,rated .1 rated .0 VAH 400 AC 160 160V 280 ,Line interactive UPS min AVR single phase input inbuilt SMF batteries 
,,,Drg No CONTR-9404-,,"Item Nos.2,3,4,5 ",Alt.1 ,,No,RDSO 8 ,Centre pivot pin shackle lock lock pin washer BLC wagon per 
,,,,,,,,No,CANON 6018 ,Toner cartridge suitable printer 
,,,Drg No CONTR-9404-,,,Alt-12 ,,No,RDSO 15 Item 1 1 8 ,Spring loaded side bearer complete assembly 
,,,,,,,,No,size 2 x 1 x 12 bonded 25 x 4 ,Hard packing feet x inch recessed ends width x strip Make wood 
,,,,,,,,No,size 2 x 1 x 2 bonded 25 x 4 ,Hardwood packing feet feet x 2 inch recessed ends width x strip make 
,,,,,,,,No,size 3 x 1 x 12 bonded 25 x 4 ,Hard packing feet x inch recessed ends width x strip Make wood 
,,Amendments per following specifications Material Grade PE 100 ,,,,,,No,IS 4984 rating 6 square 6 pipe 75 shall 3.5 3.5mm 4.1 ,HDPE conforming latest Pressure Outer dia pipe Wall thickness 
,,,DRG NO.DMU/DPC-0-4-001 ,,,ALT-m/8 ,,No,DEMU 700 ,BOGIE BOLSTER ARRANGEMENT FOR COACHES TO Note Approved sources considered 
,,,,,,,,No,SIZE 210 X 310 WITH 3 ,VINYLE STICKERS PASTED ON ACRYLIC SHEET Transparent IN COCHES OF MM MM THICKNESS AS PER SPECIFICATION ATTACHED 
,,,,,,,,No,,Combined set pf tools coaching stock maintenance specification attached 
,,,,,,,,No,OF 12 ,POH KIT FOR APPLICATION AND HOLDING MAGNET VALVE WSF MAKE EP BRAKE VALVE CONSISTING OF ITEMS AS PER DETAILED PART LIST MENTIONED OVERLEAF 
,,,,,,,,No,consisting 20 ,Maintenance Kit WSF Make EP Brake controller items per attachement 
,,,,,,,,No,type 74888 type 4 No .74889 No 1 ,Air Portion complete consisting self lapping cylinder Poppet valve Group Wasf Make EP Brake controller Part 
,,,,,,,,No,range 150 150 280 APC 1100 Capacity 1.1 warranty 2 ,Line interactive UPS surge protection inbuilt SMF batteries input voltage equivalent model VA KVA Make APC similar years min 
,,,,,,,,No,MAKE 1 MAKE 2 OF 03 ,POH KIT FOR WSF INCH SOFT SEATED CHECK VALVE CONSISTING ITEMS AS PER THE DETAILED PART LIST MENTIONED attachment 
,SK alfa 2201. ,,,,,,,No,TK 4109 ,Toner photocopier machine make KYOCERA Model TApart Code 
,,,,,,,,No,size 2 x 1 x 1 bonded 25 x 4 ,Hard packing feet x 1 inch recessed ends width x strip Make wood 
,,,Drg No.A3 040.0371 ,,,,,No,No 0267.06 No .00 No .00 ,Flex ball Cable Short Faiveley Part suitable Hand Brake LHB power car Make FTIL KBI similar Note Firm submit performance certificate issued Railway competent Authority subject Material 
,SKET FOR INLET HATCH ITEM NO.14 ,,,,,,,Yes,NO 07054 NO 13 ,GAAS PER RDSO DRAWING 
,,,DRG.NO.CONTR 9404-,,ITEM NO.6 ,ALT.7 ,,No,FOR 20 C 96 BOGIE 2 ,WIDE JAW ADAPTER CASNUB OR LATEST 
,,,,,,,,No,,SET OF MAINTAINCE SPARES CONSISTING OF SEVEN ITEMS FOR CHICAGO PNEUMATIC AIR COMPRESSOR SPECIFICATION IS ENCLOSED 
,,,Drg.No CDO/HYB/MT-01 ,,,,,No,,Manufacturing supply hatch water tap modular toilets per 
,,,Drg.No T-0-5-648 ,,,,,No,,Wearing plate side bearer latest 
,,,DRG NO T-0-3-635.,,,,,No,L 16 ,BRACKET FOR ANCHOR LINK ON BOOGIE FRAME TO ICF Small 
,,,,,,,,No,NU-U/R 4 Size:4 50 Size:4 1 ,Speed Reduction Gear Box ELECON 
,,,,,,,,No,size 2 x 1 x 4 bonded 25 x 4 ,Hard packing feet x inch recessed ends width x strip Make wood 
,,,,,,,,No,type 74888 type 4 No .74889 No 1 ,Air Portion complete consisting self lapping cylinder Poppet valve Group Wasf Make EP Brake controller Part 
,,,,,,,,No,size 2 x 1 x 4 bonded 25 x 4 ,Hard packing feet x inch recessed ends width x strip Make wood 
,,,,,,,,No,IS 5725 IS 1970 ,ISI marked dry wet bulb type psychrometer per Grade A 
,,,,,,,,No,size 6 x 1 x 12 bonded 25 x 4 ,Hard packing feet x inch recessed ends width x strip make wood 
,,,,,,,,No,size 2 x 1 x 2 bonded 25 x 4 ,Hardwood packing feet feet x 2 inch recessed ends width x strip make 
,,,,,,,,No,part 1903221212 ,Solenoid valve chicago pneumatic air compressor OEM 
,,,Drg No CDO/HYB/PANTRY/001/2015 ,,,,,Yes,L 610 W 610 H 191 thickness 0.6 ,Fabricated GI box size x X Material GI per Drawing attached 
,,,,,,,,No,NU-UR 3 inches 30 inches 1 ,Speed Reduction Gear Box ELECON Model 
,,,,,,,,No,OF 6 OF 23 ,MAINTENANCE KIT FOR WSF MAKE FEED VALVE PRV TYPE F WSF MAKE EP BRAKE CONTROLLER CONSISTING OF ITEMS AS PER DETAILED PART LIST per attachment 
,,,,,,,,No,OF 04 ,OVERHAULING KIT FOR EMERGENCY APPLICATION VALVE WSF MAKE CONSISTING ITEMS AS PER DETAILED PART LIST attached 
,SKA MAKE TOWER LIGHTS SPECIFICATION ATTACHED ,,,,,,,No,,SET OF SPARES FOR A 
,,,,QTY 1 ,,,,No,HAVING 02 ITEMS 1 NO 10079 NO.K 16316 16316 4 IN-4FP-CP .2 NO 079 KOHLER 8821 QTY- 01 ,SET OF BRASS BODY CHROME PLATED SINGLE LEVER CONCEALED WALL MIXER FOR HOT COLD WATER MIXING SET IS FLANGE AS PER JAGUAR OR MODEL MECHANISM AS PER JAGUAR MODEL NO OR KOHLER NO 
,,,,,,,,No,size 2 x 1 x 12 bonded 25 x 4 ,Hard packing feet x inch recessed ends width x strip Make wood 
,,,Drg.No.WD-92081-,,,Alt-10 ,,No,wagon 57 s-57 12 ,Nut lock BOBRN 
,,,,,,,,No,size 3 x 1 x 12 bonded 25 x 4 ,Hard packing feet x inch recessed ends width x strip Make wood 
,,,,,,,,No,size 2 x 1 x 1 bonded 25 x 4 ,Hard packing feet x 1 inch recessed ends width x strip Make wood 
,,,,,,,,No,length 44 nipple 5 nipple 16 set 5 set 64 per 7653 per 1975 ,Set gas cutting torch inch one hose coupling nut inch one set inches two seat cutting nozzle made forged brass ISI Marked 
,,,,,,,,No,GNA 3.5 ,Nibbler machine similar BOSCH make model per specification make BOSCH HITACHI MAKITA offers received OEM authorized dealers considered acceptance 
,SKET FOR INLET HATCH ITEM NO.14 ,,,,,,,Yes,NO 07054 NO 13 ,GAAS PER RDSO DRAWING 
,,,Drg.No 3,,,,,Yes,KB 3032 ,Rake testing rig Similar escorts Drawing attached 
,,,,,,,,Yes,Drawing 3 3KB 1944 ,Single car testing rig similar Escorts Drawing attached 
,,,DRG NO DMU/DPC-0-3-009 ,,,ALT-F Note RCF/ICF approved sources concedered ,,No,DEMU 700 ,BOGIE FRAME ARRANGEMENT FOR COACHES TO 
,,,,,,,,No,,Induction Heater Axle Box As per Enclosed Specification 
,,,,,,,,No,.GNA 2.5 ,Nibbler machine similar BOSCH make per specification Make BOSCH HITACHI MAKITA 
,,,,,,,,Yes,No 02 No 2016 Specification 1 sheet 18 size 300 x 200 x 200 size 170 x 80 x 12 suit 120 capacity 800 ESAB 2 pipe 100 diameter 1000 long 3 ,Manufacturing Assembling supply junction boxes per enclosed Drawing box shall prepared MS gauge x front side door provided hinges The box shall provided three iron strips enable fix hylam sheet size x x thick Hylam sheet shall fixed two female adaptors square area cables withstanding current make well spring ador fontech Panasonic box welded one MS Entire box shall painted corrosive red oxide finishing silver paint 
,,,,,,,,Yes,No 01 No 2016 Specifications 1 sheet 18 size 600 x 200 x 200 size 500 x 80 x 12 suit 120 capacity 800 ESAB 2 pipes 4 diameter 1000 long 3 ,Manufacturing Assembling supply junction boxes per enclosed Drawing box shall prepared MS gauge x front side door provided hinges The box shall provided three iron strips enable fix hylam sheet size x x thick Hylam sheet shall fixed two female adaptors square area cables withstanding current make well spring ador fontech Panasonic box welded MS inches Entire box shall painted corrosive red oxide finishing silver paint 
,,,,,,,,No,OF 23 ,RUBBER KIT FOR ESCORTS MAKE EP BRAKE VALVE SUB ASSEMBLIES PRESSURE LIMITING VALVE TRIPPLE VALVE AND STABILIZING VALVE CONSISTING ITEMS AS PER PART LIST ATTACHED 
,,,,,,,,No,type 74888 type 4 No .74889 No 1 ,Air Portion complete consisting self lapping cylinder Poppet valve Group Wasf Make EP Brake controller Part 
,,,,,,,,No,OF 6 OF 23 ,MAINTENANCE KIT FOR WSF MAKE FEED VALVE PRV TYPE F WSF MAKE EP BRAKE CONTROLLER CONSISTING OF ITEMS AS PER DETAILED PART LIST per attachment 
,,,,,,,,No,MAKE 1 MAKE 2 OF 03 ,POH KIT FOR WSF INCH SOFT SEATED CHECK VALVE CONSISTING ITEMS AS PER THE DETAILED PART LIST MENTIONED attachment 
,,,,,,,,No,consisting 20 ,Maintenance Kit WSF Make EP Brake controller items per attachement 
,,,,,,,,No,Belt 1.1 Belt 16 inches 51 NO 5979 Model 1036 RA 108 ,HKE Variable speed inches Length NESCO Part suitable Coil Spring Shot Peening Machine MAKE NESCO 
,,,,,,,,No,white 7 grinder 1 Specification 1 conventional 2 capacity 7 ltrs 3 one 4 year 5 Three 6 steel 7 ,Wet HP Motor Make Laxmi Santha 1 Model type capacity 7 ltrs warranty one phase Drum material stainless colour 
,,,,,,,,No,.Size 75 x 36 x 4 coir 03 Foam 01 ,Mattresses foam x coir inches inch Thickness Model KURLON Sleep well DUROFLEX PUREREST NOTE Firm quote mentioned make Offer received brands summarily rejected 
,,,,,,,,No,.Size 75 x 36 x 4 coir 03 Foam 01 ,Mattresses foam x coir inches inch Thickness Model KURLON Sleep well DUROFLEX PUREREST NOTE Firm quote mentioned make Offer received brands summarily rejected 
,,,,,,,,No,pro 6830 specifications 1 copy .2 inkjet 3 monthly 4 TO 15000 15000 .4 yes 5 standard .6 . 4 A4 18 ppm 7 optical 1200 1200 .8 resolution 300 300 300 x300 .9 speed 500 ,Multi function printer cum fax machine similar model HP officejet printer make HP Functions print print technology thermal Duty cycle UP colors Duplex printing Automatic print black A4 scan fax resolution processor speed MHz min 
,,,Drg.No 3,,,,,No,similar 1 similar 4 KB 5236 ,inch flexible hose adaptor ESCORTS 
,,,,,,,,No,size 25 x 9 dia 1 ,Aluminum ferrule length outer 
,,,,,,,,No,flat 120 flat 20 flat 3 IS 1079 ,Anti pilferage device Knuckle pivot pin length width flat thickness flat material specification 
,,,Drg.No.SC/Chg/Misc./01/2015 ,,,,Rev.00 ,No,per .8 ,Vinyle stickers pasted Acrylic sheet Transparent coaches 
,,,,,,,,No,IN 300 300 400 DOWCORNING 7081 ,SILICON SEALANT CURE BLACK COLOUR OR SIMILAR IN ANABOND 
,,,,,,,,No,specifications 1 capacity 51 minus 5 ltrs 2 speed 1400 RPM 3 system 4 way 4 control 3 speed 5 H 655 x 634 x 773 approx 6 voltage 110 voltage 230 volts 7 Wattage 180 approx 8 delivery 4000 4000 3 approx 9 plastic 10 10.Warrant 24 months 11 ,Air cooler Symphony model JUMBO equivalent water tank litrs pluse Motor Air deflection 4 Speed 3 speed 5 Dimensions W X DX x Operating approx Air approx Body material type ABC Dust filter provided 
,,,,,,,,No,IS 5725 IS 1970 ,ISI marked dry wet bulb type psychrometer per Grade A 
,,,,,,,,No,Velocity 101911 Accuracy 2 ball 16 ball 177 KPH 27 car 10 car 200 10-200MPH 1500 away 16 away 322 16-322MPH 457 Size 109 x 213 x 152 Weight 539 c 2 ,Hand held Speed gun Make Bushnell Model similar Speed meters approx Auto racing feet meters away x approx approx Battery type Alkaline 
,,,,,,,,No,Assembly 105 105 3 part 1903254390 ,VALVE chicago pneumatic air compressor OEM 
,,,,,,,,No,,SET OF MAINTAINCE SPARES CONSISTING OF SEVEN ITEMS FOR CHICAGO PNEUMATIC AIR COMPRESSOR SPECIFICATION IS ENCLOSED 
,,,,,,,,No,CAPACITY 18 spacing 18 distance 100 minus 10 distance 75 minus 10 ,PERMANENT MAGNETIC YOKE WITH LIFTING KGS ALONG WITH TEST CALIBRATION CERTIFICATE SOURCES VALID FOR ONE YEAR SPECIFICATION Minimum lifting capacity maximum pole 18 plus Min pole distance plus minus 
,,,,,,,,No,OF 04 ,OVERHAULING KIT FOR EMERGENCY APPLICATION VALVE WSF MAKE CONSISTING ITEMS AS PER DETAILED PART LIST attached 
,,,,,,,,No,.Size 75 x 36 x 4 coir 03 Foam 01 ,Mattresses foam x coir inches inch Thickness Model KURLON Sleep well DUROFLEX PUREREST NOTE Firm quote mentioned make Offer received brands summarily rejected 
,,,,,,,,No,.Size 75 x 36 x 4 coir 03 Foam 01 ,Mattresses foam x coir inches inch Thickness Model KURLON Sleep well DUROFLEX PUREREST NOTE Firm quote mentioned make Offer received brands summarily rejected 
,,,,,,,,No,Resolution 1024 x 768 Lumen 3000 ,Multimedia projector storage media port integrated projector XGA ANSI 
,,,,,,,,No,Resolution 1024 x 768 Lumen 3000 ,Multimedia projector storage media port integrated projector XGA ANSI 
,,,,,,,,No,.Size 75 x 36 x 4 coir 03 Foam 01 ,Mattresses foam x coir inches inch Thickness Model KURLON Sleep well DUROFLEX PUREREST NOTE Firm quote mentioned make Offer received brands summarily rejected 
,,,,,,,,Yes,,Zero Friction Mono Rail System As per enclosed specification terms condition drawing 
,,,Drg No ICF/STD-4-1-002 ,,,alt x/2 ,,No,,Stainless Steel Inlays Western Style lavatory Note Participate tender valid approved ICF Vendors 
,,,Drg No WLRRM-0-5-006 ,,,Alt-e ,,No,,Lower Spring Beam arrangement SG AC coaches 
,,,,,,,,No,CAPACITY 18 spacing 18 distance 100 minus 10 distance 75 minus 10 ,PERMANENT MAGNETIC YOKE WITH LIFTING KGS ALONG WITH TEST CALIBRATION CERTIFICATE SOURCES VALID FOR ONE YEAR SPECIFICATION Minimum lifting capacity maximum pole 18 plus Min pole distance plus minus 10 
,,,,,,,,No,,Combined set pf tools coaching stock maintenance specification attached 
,,,,,,,,No,IS 5725 IS 1970 ,ISI marked dry wet bulb type psychrometer per Grade A 
,,,Drg No CONTR-9404-,,"Item Nos.2,3,4,5 ",Alt.1 ,,No,RDSO 8 ,Centre pivot pin shackle lock lock pin washer BLC wagon per 
,,,Drg.No 3,,,,,No,similar 1 similar 4 KB 5236 ,inch flexible hose adaptor ESCORTS 
,sket plastic upper dia 27,,,,,,,No,dia 19 height 30 flat 1 minimum 2 upto 3 upto 4 ,Waste paper bacms bottom cms cms upper frame width thickness sheet mesh portion 
,,,,,,,,No,per 778 Size 20 SIZE 20 CLASS 1 ,GM valve screwed ends ISI marked Specifications A INSIDE LIFT TYPE GUN METAL LEADED IN BRONZE OR BRASS 
,,,Drg.No WD-05086-,,,Alt-5 ,,No,RDSO 10 Item 33 Ref 96031 Ref 01 ,Hand Brake Wheel BOXNHL wagon 
,,,DRG NO SCR/LGD/M P/DRG No.0159 ,,,,,No,,Pallet Rack F type shown As per enclosed specification 
Specn.No.02-ABR-02 A1 ,,Amendment No.3 ,Drg.No.CONTR-9405 ,,Item No.20 ,Alt 11 ,,No,Wagon 13 ,Distributor valve complete BLC latest Appendix 
,,,,,,,,No,per 5663 per 1970 IS 402 IS 1990 Product .1046 Size 150 edge 20 ,Flat chisel length cutting Taparia make equivalent Everest Mekaster makes 
,,,,,,,,No,almarah 18 size 6 6 1 6 2 x 3 x 18 18 1 18 2 ,Supply steel gauge powder coated paint feet height feet length x 18 1/2 inches width provision five shelves 
,,,,,,,,No,per 841 per 1983 Product 800 No.WH-800B/C 2 approx 800 ,Hammer handle ball pein type pounds Taparia make equivalent Everest Mekaster makes 
,,,,,,,,No,per 778 marked 25 size 25 type 1 ,Gun Metal valve screwed female ends ISI integral seat inside lift type Gun metal leaded bronze brass 
,,,DRG NO.DMU/DPC-0-4-001 ,,,ALT-m/8 ,,No,DEMU 700 ,BOGIE BOLSTER ARRANGEMENT FOR COACHES TO Note Approved sources considered 
,,,DRG NO.DMU/DPC-0-4-001 ,,,ALT-m/8 ,,No,DEMU 700 ,BOGIE BOLSTER ARRANGEMENT FOR COACHES TO Note Approved sources considered 
,,,DRG NO.DMU/DPC5-0-3-501 ,,,ALT-w/5 ,,No,DEMU 1400 ,BOGIE FRAME ARRANGEMENT FOR AIR SPRING SUSPENSION BOGIE FOR AERO DYNAMIC COACHES TO Note Approved sources considered 
,,,DRG NO DMU/DPC5-0-4 -- 094 ,,,ALT-d Note Offers ICF/RCF Approved sources considered ,,No,DEMU 1400 ,BOGIE BOLSTER ARRANGEMENT FOR AIR SPRING BOGIE WITH STRAIGHT WEBS FOR AERO DYNAMIC COACHES TO 
,,,,,,,,No,almarah 18 size 6 6 1 6 2 x 3 x 18 18 1 18 2 ,Supply steel gauge powder coated paint feet height feet length x 18 1/2 inches width provision five shelves 
,SKU Code 41615 ,,,,,,,No,AKH 900 ,Supply installation commissioning Kitchen hood Kitchen chimney along required material installation Model SL Prestige similar Make Prestige Gilma Sunflame Hindware 
,SKU Code 41615 ,,,,,,,No,AKH 900 ,Supply installation commissioning Kitchen hood Kitchen chimney along required material installation Model SL Prestige similar Make Prestige Gilma Sunflame Hindware 
,,,DRG SCR/LGD/M P/DRG No.0155 ,,,,,No,,Front Half Open Cage Pallet shown As per enclosed specification 
,SKU Code 41615 ,,,,,,,No,AKH 900 ,Supply installation commissioning Kitchen hood Kitchen chimney along required material installation Model SL Prestige similar Make Prestige Gilma Sunflame Hindware 
,,,,,,,,No,No 54 ,Short Body Bib cock per Jaquar Model Hindware Foam type 
,,,,,,,,No,,Integrated Test Bench Air Spring Suspension Control Equipment Leveling valve Duplex check valve As Per enclosed specification 
,,,,,,,,No,OF 12 ,POH KIT FOR APPLICATION AND HOLDING MAGNET VALVE WSF MAKE EP BRAKE VALVE CONSISTING OF ITEMS AS PER DETAILED PART LIST MENTIONED OVERLEAF 
,,,,,,,,No,per 3650 per 1981 Design .178415 Product .1621 Product 8 Size 8 8 210 ,Combination insulated pliers Sleeve Taparia make equivalent Everest Mekaster makes 
Specn.WD-01-HLS-94 S-7 ,,,Drg.No.CNTR 9404-,,,,,No,IS 3195 3195 .52 GR.52 .4 CR.4 2 ,Snubber Spring BLC TO 
,,,Drg.No.RE/DNR/EL/TP/07 ,,,,,No,ends 13 ,Rail Jumper clamp metres copper cable per 
,,,Drg.No.RE/DNR/EL/TP/07 ,,,,,No,ends 13 ,Rail Jumper clamp metres copper cable per 
,SKU Code 41615 ,,,,,,,No,AKH 900 ,Supply installation commissioning Kitchen hood Kitchen chimney along required material installation Model SL Prestige similar Make Prestige Gilma Sunflame Hindware 
,SK-6-3-160 ,,Drg.No ICF/DEV/SK-6-3-160 items,,,,,No,"consisting 4 ICF 4 ICF 5 ICF 6 ICF 7 4,5,6,7 1 bush 6 bush 3 bush 225 drg.no.SK-6-3-225 1 Item-1 2 pipe 20 drg 6 drg 3 drg 226 No..ICF/SK-6-3-226 1 Item1 3 drg.no 6 drg.no 3 drg.no 226 Item 2 2 4 dia 55 dia 3.2 Drg.No 6 Drg.No 3 Drg.No 160 Item 7 ",Set components required assembly porcelain commode Set items rubber special Hexagonal pipe 2 4 steel ferrule Item 
,,,,,,,,No,per 844 per 1979 Design .177211 Product .829 Size 300 x 8 ,Screw transparent green handle blade dia Taparia make equivalent Everest Mekaster 
,,,,,,,,No,WHITE 10 grinder 1.5 Specification 1 CONVENTIONAL 2 CAPACITY 10 LTRS 3 ONE 4 YEAR 5 THREE 6 STEEL 7 ,ltrs capacity Wet HP Motor Make Laxmi Santha MODEL TYPE 10 STONES WARRANTY ONE PHASE DRUM MATERIAL STAINLESS COLOUR 
,,,,,,,,No,almarah 18 size 6 6 1 6 2 x 3 x 18 18 1 18 2 ,Supply steel gauge powder coated paint feet height feet length x 18 1/2 inches width provision five shelves 
,,,,,,,,No,confirming 778 a.size 40 ,ISI marked valve Make ZOLOTO LEADER AUDCO HB b Body Leaded Tin leaded tin integral female Type 
,,,,,,,,No,existing 50 consisting 1 Fitter 12 12 2 filter 04 nos 3 filter 04 nos 4 Scalant 12 ,set consumables suitable LPH RO plants SNF BIDR PRLI crew lobbies Each set Carbon filter 04 nos 12 nos 
,,,,,,,,No,size 70 70mm 71 71mm 72 steel 3748 steel 90 IS:3748/90 50 IS:3748/90 55 ,SAB A dimension gauge Material tool HRC 
,,,Drg.No ICF/STD-4-018 ,,,Alt.h/3 ,,No,,Foldabe bottle holder ICF 
,,,DRG NO DMU/DPC-0-3-009 ,,,ALT-F ,,No,DEMU 700 ,BOGIE FRAME ARRANGEMENT FOR COACHES TO 
,,,DRG NO DMU/DPC-0-3-009 ,,,ALT-F Note RCF/ICF approved sources concedered ,,No,DEMU 700 ,BOGIE FRAME ARRANGEMENT FOR COACHES TO 
,,,DRG NO.DMU/DPC-O-3-009 ,,,ALT-f Note RCF/ICF approved sources considered ,,No,DEMU 700 ,BOGIE FRAME ARRANGEMENT FOR COACHES TO 
,,,,,,,,No,FOR 1400 NO 760242272 NO 428150001 ,ASSEMBLY OF NOSE SUSPENSION DEVICE DEMU COACH MOTOR SUSPENSION UNIT TO CGL PART OR BHEL PART NO 
,,,,,,,,No,IS 778 IS 1984 size 15 class 1 ,ISI Marked Vertical NRV Check Valve confirming following specifications b integral seat c Screwed type e lift type 
,,,,,,,,No,KENWOOD 7.2 VOLT 2300 FOR 5 TD-V 30 ,RECHARGEABLE BATTERY SUITABLE WATT WALKIE TALKIE MODEL NO VHF SET MAKE TID HYT MOTOROLA 
,,,,,,,,No,SIZE 920 IS 3748 IS 90 HARDNESS- 50 HARDNESS- 55 ,TARE TIE ROD GAUGE BLL WAGON MM MATERIAL TOOL STEEL TO HRC 
,,,,,,,,No,size 460 X 340 X 180 No 81036 ,Wash basin ceramic wall hung type L W X H similar RAASI cat west coupling Colour White 
