DRG._NUMBER,ALT_NUMBER,SPEC_NUMBER,ITEM_NUMBER,AMENDMENT_NO,SK_NUMBER,QUANTITY,REV_NUMBER,REST_DATA
,,,,,,,,Hydraulic hand pallet truck capacity 2500kg fitted nylon wheels width 27 x lenght 46 685mm x 1100mm Model HIS Genie Hydro Aritco 
DrgNo CC 53105 ,Alt.C ,,,,,,,Holding Frame Sealed Door Window Arrangement RCF 
,Alt.1 ,,,,SK-1201/,,,Magazine Bag Item 3 5 Brown colour SCR Drawing No SCR/C W/C 
Drg.No DMU/TC-1-1-005 ,Alt ,,,,,,,Body Bolster SCN Coaches ICF Col-IV 
,,,,,,,,BRASS BALL VALVE OF SIZE 25-mm SCREWED FEMALE ENDS LEVER OPERATED MAKE ZOLOTO/ HB AND LEADER ONLY SPECIFICATION FOR BRASS BALL VALVE 25 1 NAME OF THE PART STEM MATERIAL FORGED BRASS SPECIFICATION IS 6912 Gr FLB 2 NAME OF THE PART NUT MATERIAL CARBON STEEL SPECIFICATION IS 1367 3 NAME OF THE PART WASHER MATERIAL CARBON STEEL SPECIFICATION IS 1367 4 NAME OF THE PART LEVER MATERIAL CARBON STEEL SPECIFICATION IS 2062 5 NAME THE PART BODY GLAND MATERIAL.FORGED BRASS.SPECIFICATION IS 6912 Gr FLB 6 NAME OF THE PART GLAND PACKING MATERIAL PTFE SPECIFICATION BS EN:12086-1 7 NAME OF THE PART BALL MATERIAL FORGED BRASS SPECIFICATION IS 6912 Gr.FLB 8 NAME OF THE PART BODY SEAT RING MATERIAL PTFE SPECIFICATION BSEN 12086-1 9.NAME OF THE PART BONNET MATERIAL FORGED BRASS SPECIFICATION IS 6912Gr.FLB WARRANTY MINIMUM 6 MONTHS 
Drg.NO.CG-15090 ,,,,,,,,10 Thickness modified shims AAR H type tight lock CBC per 
Drg No ICF/sk-6-3-426 ,Alt d/Nil ,,,,,,,"Stainless Steel Mug chain Rings AC Coaches ICF Item 1,2 4 "
Drg.No ICF/STD 6-3-008 ,Alt.n/Nil ,,,,,,,Mirror Assembly ICF Col.I 
,,,item No 52 2 ,,Sketch No 81200 ,,,Cross Head Assembly set BMBC Consissting 4 items 1 cross Head RDSO Latch RDSO Sketch No 81200 Item No 23 3 Latch Spring RDSO Sketch No 81200 Itgem No 24 4 Ring RDSO Sketch No 81206 Item No 23 Note -RDSO Approved vendors BMBC need quote 
Drg.No RDSO Sketch-81206 ,Alt 3 ,,,,,,,Ring RDSO Item-23 
,,,,,,,,Maintenance Kit C3W type Distributor Valve consisting 10 items per annexure attached Note RDSO Approved vendors Distributor Vavlve need quote 
,,,,,,,,Right side brake tube Voltas Part No.MH 506363300 suitable use Voltas Forklift Trucks Model DVX 20 VAT 
Drg.No.SC/Chg/Misc./01/2015 ,,,,,,,Rev.00 ,Vinyle stickers pasted acrylic sheet Transparent coaches per S.NO.6 drawing attached 
,,,,Amendments per following specifications Material grade PE100 ,,,,HDPE Tees confirming IS 4984 latest Pressure rating :6 kg/square PN -- 6 Outer dia pipe 63mm Wall thickness shall 2.9mm 3.4mm 
,,,,Amendments per following specifications Material grade PE100 ,,,,HDPE Bends confirming IS 4984 latest Pressure rating :6 kg/square PN -- 6 Outer dia pipe 75mm Wall thickness shall 3.5mm 4.1mm 
,,,,Amendments per following specifications Material grade PE100 ,,,,HDPE Tees confirming IS 4984 latest Pressure rating :6 kg/square PN -- 6 Outer dia pipe 75mm Wall thickness shall 3.5mm 4.1mm 
Drg No.CONTR 9404 ,Alt 11 ,,,Amdt No.1 ,,,Rev.2 ,Centre pivot top S/8 Item 1 latest Spec.CONTR-LCCF 20 C -96 Feb.10 
Drg No MI005645 ,Alt-Nil ,,,,,,,Ball valve 1 RCF item-16 
Drg.No.T-2-2-602 ,Alt m/3 ,,Item No.1 ,,,,,Washer 20 x 172mm Dia ICF 
,,,,,,,,Coat hanger 6 powder coated hooks fitted pre laminated particle board thickness 10 U type aluminium beading sides.Size board 4 feet x 2 feet Board Novopan Archidply 
Drg.9405-,,,Item No.46 ,,,,,Pressure Reducing Valve BLC Wagon CONCOR S-13 
Drg.No MI005510 ,,,,,,,,S.S Wire cable dia 8mm-7X7 length 3000mm RCF item 5 along plate Item Sl.No.12 
,,,,,,,,Brake Drum Drive Axle suit Godrej Part No MH02000024 Godrej Forklift Trucks Model GX-300D Simpson/Godrej Authorised Dealers quote valid certificate 
DRG.No J T/A3/2000 ,,,,,,,,Trestles BG Coaches per drawing No PD/TYTPS/SCR/ 
,,,,,,,,Set mounting brackets complete outer Inner Head stock assembly bracket Stainless Steel Wire rope RDSO Drawing Nos consisting 4 items fixing arrangement DRDE Biological tank conventional coaches Detailed description per annexure 
Drg.No T-1-2-516 ,Alt-p/31 ,,,,,,,Knuckle-Plate ICF Col-1 Item-1-Coller M.S Size 25x80x170 item-2-Bush size dia.42/32x25 
,,,,,,,,POH kit DV KEO type consisting 48 items per part list enclosed Annexure-I Note RDSO Approve sources distributor valve need quote material inspection RDSO 
,,,,Amendments per following specifications Material Grade PE 100 ,,,,HDPE Bends confirming IS 4984 latest Pressure rating :6kg/square PN-6 Outer dia pipe:63mm wall thickness shall 2.9mm 3.4mm 
Drg.No.SC/Chg/Misc./01/2015 ,,,,,,,Rev.00 ,Vinyle stickers pasted acrylic sheet Transparent coaches per S.NO.6 Drawing attached 
,,,,,,,,Semi-Automatic Washing Machine 6Kg Capacity top loading Make VIDEOCON LG SAMSUNG 
Drg No.CONTR 9404-,Alt.10 ,,Item No.4 ,,,,,Bogie end pull rod S/10 latest 
Drg No.CONTR-9404-,Alt.12 ,,"Item Nos 4,5 6 7 ",,,,,Liner set sider bearer BLC wagon S-15 latest 
,,,,,,,,Soft gentle liquid soap filling plastic container pump nozzle 250 ml Net Make FEM/PALMOLIVE/DETTOL 
Drg No CONTR-9404-,Alt.12 ,,,,,,,Side bearer seat RDSO S-15 Item 2 latest Drawing attached 
Drg.No WGSCWAC 6-6-4-606 ,Alt.d/Nil ,,,,,,,Ladder upper berth PU foam type ICF 
,,,,,SK-002 ,,,Wheel Floating blocks WDG3A per drawing numbers SCR/ART/ 
,,,,,,,,POH Rubber kit complete escorts make EP Brake controller consisting 40 items per detailed list enclosed Annexure-I 
,,,,,,,,Modified Application Magnet valve Complete M/S WSF itd part no.ic70222/1 suitable Electro Pnuematic Brake unit type WSF make 
,,,,,,,,Control valve assembly ELGI part No.EU 8525000 suitable ELGI make wiper arrangement 1400 HP DEMU DPC 
,,,,,,,,Seal crank shaft rear end suit Godrej Forklift Trucks Model GX-300D 
,,,,,SK 575 ,,,Cup Sleeve Lower SCHAKU Coupler Escorts Part No equivalent 
,,,,,SK-002 ,,,Wheel Floating blocks WDG3A per drawing numbers SCR/ART/ 
Drg.No LW05116 ,Alt.Nil ,,,,,,,Bracket Lateral Damper RCF 
,,,,,,,,Rear end oil seal Simpson Part No 73DE0019 suit Simpson Engine Model S 433 Godrej Forklift Trucks Model GX-300D Eligible Criteria Past performance similar item supplied Railways documentary evidence enclosed alongwith offer proof executed purchase orders otherwise offer passed Note -OEM/Authorized dealer OEM need quote Authorised dealership certificate enclosed alongwith officer otherwise offer passed 
,,,,,SK-004 ,,,Wheel Floating block WDM3D per Drawing numbers SCR/ART/ 
,,,,,SK-001 ,,,Wheel floating blocks WDM2A per drawing number SCR/ART/ 
,,,,,SK.003 ,,,Wheel Floating blocks WDG4 per Drawing No SCR/ART/ 
,,,,,,,,Set mounting brackets complete outer Inner Head stock assembly bracket Stainless Steel Wire rope RDSO Drawing Nos consisting 4 items fixing arrangement DRDE Biological tank conventional coaches Detailed description per annexure 
Drg.No C/LF-1885 ,Alt.6 ,,,,,,,Wash hand sink D type stainless steel IRS 
Drg.No.WD-05086-,Alt.5 ,,Item No.33 ,,,,,Hand brake wheel BOXNHL wagons RDSO S-10 Ref.Drg.No.WD-96031-S-01 Alt-Nil 
,,,,,,,,WAFER TYPE BUTTERFLY VALVE PN16 Rating cast irion IS:210 Gr 200 body Epoxy coated SG iron Disc ASTM A536 Black Nitrile rubber moulded bakelite/Aluminium hard back ring suitable field replacement SS 410 ASTM A276 Stem Heavy duty square grooved Disc/stem connection without machanical fastening mounting flange per ISO 5211 suitable insertion BS4504 PN10/16 ASME B16.5 150 BS10 Table D/E/F flanges lever test pressure B.T.P 24 Bar Hyd S.T.P 18 Bar Hyd Size 150mm manually operated Specification valves DN150 PN 2.5 wafer short per table -1 Bis 13095/1991 
Drg.No.W/BD-350 ,Alt-1 ,,,,,,,Recoil Spring Washer BG IRS 
Drg.No.MI005510 ,Alt.C ,,,,,,,Wire cable Bio-Toilets Size Dia 8 per RDSO item Serial NO.5.
Drg.No.WD-92081-,Alt-10 ,,,,,,,Nut lock BOBRN wagon s-57 item-12 
Drg.No.CONTR-9404-,Alt.12 ,,Item No.1 ,,,,,Slide Block BLC Wagon spring loaded side bearer assembly S/15 
Drg.No.RITES/TP 9405-,Alt percent u20180 ,,Item No.11 ,,,,,M20 Bolt Nut Check Nut Washer Split Pin IS-001 Item No.12 percent u2019 latest 
,,,,,,,,Control valve assembly ELGI part No.EU 8525000 suitable ELGI make wiper arrangement 1400 HP DEMU DPC 
,Alt.3 ,,item No 6 ,,SK-81206 ,,,Pawl housing Ring air Br Cylinder 203mm BMBC per RDSO/Meterial spec Steel En8-BSS 970 1995 Note Procurement RDSO Approved sources Bogie Mounted Brake Cylinder 
Drg.No CG-14070 ,alt-c ,,,,,,,Hose Connector 150/150mm RDSO Item-1 along two clamps RCF Drg.No.MI05510 Item-9 
Drg.No.CONTR 9404-,Alt.7 ,Specn.WD-01-HLS-1994 Jan.2009 ,Item No.2 ,,,,Rev.3 ,Bolster Spring Inner BLC Wagon RDSO S-7 confirming 
,,,,,,,,Front Support spring cartridge assembly FTIL part No 727857000 Make Faiveley centre buffer coupler coaches coaching stock 
Drg.N0.,,,,,,,Rev.00 ,Vinyle stickers pasted Acrylic sheet Transparent coaches per SC/Chg/Misc./01/2015 S.No.14 
Drg.N0.,,,,,,,Rev.00 ,Vinyle stickers pasted Acrylic sheet Transparent coaches per SC/Chg/Misc./01/2015 S.No.4 
Drg.N0.,,,,,,,Rev.00 ,Vinyle stickers pasted Acrylic sheet Transparent coaches per SC/Chg/Misc./01/2015 S.No.13 
,,,,,,,,Brake Darum Cast Ior 250 dia suitable 15 ton EOT crane Make SAICO/GARLICK/SHRUSHITI/TSS Authorized dealers quaote valid certificate 
,,,,,,,,Top Commutator cover-assembly BHEL-Make-TM Model No 4601DY 700HP DEMU BHEL Cat No 453170001 Make BHEL/Bhopal electrical insulation/Balaji enterprise/Inder engineering/DTL.Machin Pvt.Ltd OEM/authorized dealers quote 
Drg.No C/LF-1885 ,Alt.6 ,,,,,,,Wash hand sink D type stainless steel IRS 
,,,,,,,,SS.Hex head bolt complete fitment P-Trap DRDE Bio-toilet tanks conventional SG Coaches consisting 3 items 1 SS.Hex.Bolt M8 x 25 percent u2013 5.6 IS:1364 Part-1 CE 2 SS.Hex Nut M8 A2-70 IS:1367 Part-14 IS:1364 Part-3 percent u2013 2002 3 Spring washer B8 IS 3063-1994 Coating MDTS-057 
Drg.No.CG-15090 ,,,,,,,,Modified shim size 20mm thickness Material Fe410W IS 2062-2006 AAR percent u2018H percent u2019 Type tight lock CBC per RDSO 
,,,,,,Qty/Kit 04 ,,Set Brake Drum Cast Iron EOT Cranes Detailed Descrption 1 Brake Drum 250mm dia suitable 15 Ton EOT Cranes Nos 2 Brake Drum 200mm dia suitable 7.5 Ton EOT Cranes Qty/Kit 04 Nos Make REVA/SAICO/GARLICK/SHRUSHTI/TSS Note OEMS authorized dealer quote along authorization certificate Firms mention details make/model item shall enclose relevant technical leaflet 
,,,,,SKAR ELGI OEM Authorised Dealers quote valid certificate ,,,Oil Filter CP Part No 6211472250 suitable Chicago Pneumatic Screw Air Compressor 76 CFM Model CPB25 make CP KIRLO 
,,,,,,,,SEALING RING A105/130/12 TO RCF PL.NO.33590631 
Drg No CG-K4026 ,Alt.1 ,Specn 2062 ,,,,,Rev-02 ,Auxilary Air Reservoir 150 Liters Capacity main line ICF Coaches RDSO material IS 
Drg.No SK-73549.,,Specn 02-ABR-02 ,,Amendement No 3 ,,,,Guards Emergency Brake Valve 8mm dia choke let port confirming RDSO No 
Drg.No CC 56415 ,,,,,,,,Fixing Rubber Standard length 20 Meters 
Drg.No ICF/STD-6-4-010 ,Alt q/2 ,,,,,,,Coat Hooks ICF Col-I 
Drg.No M1004736 ,Alt-Nil ,,,,,,,Bracket Speed sensor Axle End Cover LHB Fiat Bogies RCF 
Drg.No CG-14070 ,alt-c ,,,,,,,Hose Connector 150/150mm RDSO Item-1 along two clamps RCF Drg.No.MI05510 Item-9 
Drg No.WD -92081-,Alt.10 ,,,,,,,Bush Bronze per RDSO S-57 Item 5 .for BOBRN wagon 
Drg No WD-05086-,Alt2 ,,item No:5 ,,,,,Connecting rod Brake gear BOXNHL wagon RDSO S-19 Ref Drg No W/BG-6321 
,,,,,,,,Supply pasting vinyle sticker coach plates size 13 x 12 pasting vinyle letters specification attached 
,,,,,,,,Plastic bucket capacity 13 liters make CELLO CHETAN 
DRG.NO.ICF/SK3-6-3-130 ,ALT-C. IS 4762-84 ,,,,,,,HOSE CLAMP DIA 120MM WITH PAN COMMODE ADAPTOR OUTLET OD 102 MM FOR BIO-RETENTION TANK AS PER ICF ITEM 7 TAB-1.A1SI-304 
,,,,,,,,Hydraulic pallet truck 4 wheels 5 tons hydraulic lifting light 200mm length 1220mm width 685mm specification enclosed 
,,,,,,,,WELDING MACHINES SPECIFICATION ATTACHED 
,,,,,,,,SNAKE CABLE ON REEL 20 mtrs 24 XLR connectors color coded numerically labelled Make FALCON/SURBHI/BOSS/SEISMIC AUDIO 
Drg.No T-0-5-648 ,,,,,,,,Wearing plate side bearer latest 
Drg No.CDO/HYB/Cage-1 ,,,,,,,,Cage rat pad per Drawing copy enclosed 
,Alt-1 ,,,,SK.NO.K2036 ,,,Dust bin composite modular toilet AC coaches RDSO Item-1 
Drg No WD-88123-,alt.-02 ,,,Amend No 03 ,,,,Cutt Off Angle Cock Vent Freight Coaching Stock Confirming RDSO Spec No 02-ABR-02 April 10 Appendix D S-01 Note RDSO Approved sources quote 
Drg No M1005645 ,alt.nil ,,,,,,,Ball valve 1 inch RCF item-16 
Drg.No ICF/STD-4-018 ,Alt.h/3 ,,,,,,,Foldabe bottle holder ICF 
Drg.No WGSCWAC 6-6-4-606 ,Alt.d/Nil ,,,,,,,Ladder upper berth PU foam type ICF 
Drg.No T-2-6-60 ,Alt-z/29 ,,,,,,,Entrance Hand rail ICF Col-VII 
Drg.No SCN 5-6-521 ,Alt.n/2 ,,,,,,,Head rest upper berth ICF Col-I 
,,,,,,,,Floor squeezer handle made aluminium 4 feet length scrubbing bristle squeeze foam polypropylene length 1 feet similar roots make part 559260010.00 
,,,,,,,,Floor squeezer handle made aluminium 4 feet length scrubbing bristle squeeze foam polypropylene length 1 feet similar roots make part 559260010.00 
,,,,,,,,Laminated Board Tourism Poster size 20 x 28 per enclosed Annexure.Thickness board 8mm.Drawing enclosed 
,,,,,,,,Supply pasting vinyle stickerr Destination board size 48 x 6 pasting vinyle letters specification enclosed 
,,,,,,,,Supply installation GPRS based Bio- Metric system equivalent COSEC Door Fow M/s Matrix Cosec Time Higher version specification attached 
Drg.No CDO/HYB/Amenity/001/2015 ,,,item No.1 ,,,qty 03 ,,Set bottle spray pump hand wash liquid per set consists nos item no.2 qty 01 Drawing copy attached 
Drg.No.CG-11088 ,alt-1 ,,,,,,,Bracket safety rope per RDSO CG Drawing attached 
,ALT 5 ,,item No 1 ,,sketch 81201 ,,,Cylinder Body Bogie mounted brake cylinder per RDSO C confirming RDSO Spec No C-K103 Alt.1 Material Sapec Fe410 WA IS 2062-92 Note -To procured RDSO Approved vendors bogie mounted brake cylinder 
,,,,,SK-804 ,,,Holder support sub assembly schakucoupler ESCORTS Part No equivalent 
Drg.No SK-6-3-425 2 ,,,,,,,,Polyurethene push type flushing valve fitment lavatory passenger coaches specification Specification 1 Dimensions fitment exisiting pipes per ICF No leakage dripping observed pressure difference 3.5 bar across valve 3 Valve fully opened applicaton pressing force 6.8kg knob 4 Indication pressing knob pushing cap 5 Indication direction flow body valve 
,,,,,,,,Acrylic sheet transparent size 4feet x 3feet x 3mm thick ASTM International Spec.D4802-10 Make Neelkamal Jaibharath 
Drg No LW54141 ,,,,,,,,Rubber profile 
Drg.No LW05116 ,Alt.Nil ,,,,,,,Bracket Lateral Damper RCF 
,Alt.3 ,,item No 6 ,,SK-81206 ,,,Pawl housing Ring air Br Cylinder 203mm BMBC per RDSO/Meterial spec Steel En8-BSS 970 1995 Note Procurement RDSO Approved sources Bogie Mounted Brake Cylinder 
Drg.No ICF/STD-4-3-017 ,Alt-a ,,,,,,,Stainless steel angle moulding 1x47x2000mm Total 22 holes dia 5mm provided equally spaced distance 195mm ICF Item-3 
drg.no T-5-3-701 ,Alt except item 5 7 12 14 21 22 ,,,,,,,FRP Outer window arrangement equalizing device Col-VII colour glass shutter louver shutter frames shall stain blue shade No 177 IS S-2007 colour window guide sill shall smoke grey shade No 692 ISS-2007 
,,,,,,,,Ball valve manual pressure stop valve LUKAS control stand CT-7 Ref.No V84072/028522 
Drg No MI005326 ,Alt-b Drawing attached ,,,,,,,Sealing rubber tank per RCF 
,,,,,,,,Hydraulic pallet truck 4 wheels 2.5 tons cap Hydraulic lifting height 200 length 1220mm width 685mm specification enclosed 
Drg.No.SCR DLS/EQ-0053/,,,,,,,,Wooden Wedge per B Drawing attached 
,,,,,,,,Wash basin ceramic wall hung type size 460 L X 340 W X 180 H similar RAASI cat No 81036 west coupling Make RAASI/HINDWARE/PARRYWARE Colour White 
Drg.no WD-92081-,Alt-10 ,,,,,,,Eye bolt nut RDSO S-57 item-2 bush Drg.no.WD-92081-S-58 item-2 Alt-3 
Drg.No 1 ,Alt-02 ,,,,SK.92082 ,,,"Manufacture supply set items Copying templates LH RH profile checking gauges female intermediate wheel profile BG coaches per RDSO.C.sizes 25mm,27mm 28mm Drg.No 2.RDSO.C.SK.91146 Alt-03 size 29.4 Material Tool steel IS-3748/90 Hardness 50/55HRC NABL calibration certificate As per set details enclosed "
,,,,,,,,Foldable wheel diameter measuring gauge fitted vernier scale measuring range -900-1120 accuracy-1.0 material tool steel IS 3748/90 Hardness 40/45 HRC Suitable carriage Wagon along STD test bar suitable length.Supply calibration certificate NABL approved laboratories packed carrying wooden box 
,Alt.3 ,,,Amend No 2 ,,,,Common pipe bracket control reservoir drawing No WD-7951-S-10 confirming RDSO Specification No 02-ABR-02 Appendix-A1 Note -RDSO Approved vendors need quote 
Drg.No.MI005510 ,alt- NIl IS 4762-84 ,,,,,,,Clamp dia 150mm pan /commode adaptor outlet OD 156mm Bio-retention tank per RCF item-9 AISI304 
,,,,,,,,Aluminium pop Rivet specifications Attached 
,,,,,,,,Hand Held Wireless micro phone System Make SHURE/EV/SENNHEISER/BOSCH Specification Attached 
,,,,,,,,Toner cartridge suitable CANON LBP 3500 printer 
,,,,,,,,Toner cartridge suitable CANON LBP 6018 printer 
Drg.No DMU/TC-1-1-005 ,Alt ,,,,,,,Body Bolster SCN Coaches ICF Col-IV 
Drg.No ICF/SK-5-4-274 ,Alt.k Item 2 ,,,,,,,Aluminium inner frame double sealed window AC coaches per 
,,,,,,,,Adaptor Crown seat gauge gauge No.1 2 per Fig.No.16 RDSO G-95 manual suitable CASNUB Bogies 
,,,,,,,,Latex 7 1/2 Disposable hand gloves IS 13422 thickness 0.10mm MAKE Nulife similar 
Drg NO WD-07054/5-10 ,,,item No.11 ,,,,,SS 202 Pressure Relief Valve Rain Cap RDSO Body Cast stainless steel AISI 202 Seat SS 202 Spring SS 304 Size 65 Release Pressure 07 Kg/square 
,,,,,,,,Pedestal jaw short gauge per Fig.No.33 RDSO G-95 manual suitable CASNUB Bogies 
,,,,,,,,Adaptor side lug gauge per Fig.No.15 RDSO G-95 manual suitable CASNUB Bogies 
,,,,,,,,Column gauge per Fig.No.25 RDSO G-95 manual suitable CASNUB Bogies 
,,,,,,,,Combined wear gauge per Fig.No.38 RDSO G-95 manual suitable CASNUB Bogies 
,,,,,,,,Adaptor Crown seat gauge per Fig.No.11 RDSO G-95 manual suitable CASNUB Bogies 
Drg.No.SE/E/SK/14/10 ,,,,,,,,EFT Cover box type made MS CRCA sheet 16 guage thick powder coating yellow electrical signs 110V DC polarities per 
,,,,,SK.No AC/04/894 ,,,Foot Rest complete suitable sutlej Make LHB AC Chair Car 04 Nos mounting bolt Nut M8 x 50mm MYSS . 
,,,,,,,,Column gib gauge per Fig.No.41 RDSO G-95 manual suitable CASNUB Bogies 
,,,,,,,,Adaptor side lug gauge per Fig.No.12 RDSO G-95 manual suitable CASNUB Bogies 
,,,,,,,,Adaptor side gauge per Fig.No.13 RDSO G-95 manual suitable CASNUB Bogies 
,,,,,,,,Adaptor sides gauge per Fig.No.17 RDSO G-95 manual suitable CASNUB Bogies 
,,,,,SKID SPECIFICATION ATTACHED ,,,SUPPLY INSTALLATION COMMISSIONING OF RO PLANT OF 50 LPH SIMILAR TO ROPURE BRAND 7 STAGE PURIFICATION RO WITH UV SYSTEMS IN SS 
,,,,,,,,WET DRY MANUAL MOP 50cm AND ADJUSTABLE TELESCOPIC POLE HANDLE ALUMINIUM POWDER COATED WITH BLENDED SYNTHETIC AND COTTON YARN INSET MAKE ROOTS EZEE CLEAN PART NO.559260002 SIMILAR AS PER SPECIFICATION ATTACHED 
Drg No.SK-K3001 ,,,Item No.1 ,,,,,Plain glass Hammer box size 180mm x 280mm x 1.5 thickness per RDSO C IS Specification No IS 2835-87 
Drg No SAB A4 7270627 ,,,,,,,,Shims thickness 02mm IS 8500 Standard sheet per suitable CBC 
Drg No CG- 14070 ,,,item No.2 ,,,,,Hose connector Bio-toilets per RCF Drg copy enclosed 
,,,,,,,,Disposable pillow covers made 40-50 GSM OZO free non woven fabric size 64x44 cms including 1 border two sides blue fabric.Thickness fabric greater equal 0.5mm material poly propylene spun bond 
,,,,,,,,"3.7volts,2200mA Rechargeable batteries LED LAMPS Specifications National standard 18650 Make Unicad/Lione/GP Ultra fire "
Drg No SAB A4 7270627 ,,,,,,,,Shims thickness 08mm IS 8500 Standard sheet per suitable CBC 
Drg NO WD-07054/5-10 ,,,item No.11 ,,,,,SS 202 Pressure Relief Valve Rain Cap RDSO Body cast stainless steel AISI 202 Seat SS 202 Spring SS 304 Size 65 MM Release Pressure 07 Kg/cm square 
Drg.No.Sr.CDO/S/ADI/2 ,,,,,,,,Push type flush valve per Sr.CDO/ADI ATL-II coaching depot kankariya Ahmedabad Drg enclosed 
,,,,,,,,Supply pasting vinyle stickers panel board size 48 x 18 pasting vinyle letters 
Drg No SAB A4 7270627 ,,,,,,,,Shims thickness 06mm IS 8500 Standard sheet per suitable CBC 
,,,,,,,,Oil Filter Element Air Compressor OEM Part No.6211473550 Make Chicago Pneumatic Model CPC 60 
,,,,,,,,Suction Foam Air Compressor OEM Part No.9095331211 Make Chicago Pneumatic Model CPC 60 
,,,,,,,,Connecting Rod crank shaft Assembly bearing ELGI Part No 070301140 ELGI make Air Compressor Model TRC 2507 Note OEM/Authorised dealers ELGI valid authorised certificate need quote 
Drg.No ICF/SK-7-1-306 ,Alt v/2 ,,,,,,,Battery box 110 Volt DC TL System ICF 
,,,,,,,,Pedestal side crown side gauge per Fig.No.29 RDSO G-95 manual suitable CASNUB Bogies 
,,,,,,,,Anti rotation lug gauge per Fig.No.26 RDSO G-95 manual suitable CASNUB Bogies Supply calibration certificate NABL approved laboratories 
,,,,,,,,Knuckle nose wear stretch limit gauge CBC gauge No.03 reference RDSO G80 manual 
,,,,,,,,Adaptor thrust shoulder bore wear gauge per fig.No.09.RDSO-G 95 manual 
,,,,,,,,Pedestal side crown side gauge per Fig.No.30 RDSO G-95 manual suitable CASNUB Bogies 
,,,,,,,,Pedestal jaw long gauge per Fig.No.34 RDSO G-95 manual suitable CASNUB Bogies 
,,,,,,,,SAB A Dimension gauge suitable BOBRN wagons size 27.0mm 2 -0 Material Tool steel IS:3748/90 hardness 50/55 HRC 
,,,,,,,,Adaptor Crown lug gauge per Fig.No.10 RDSO G-95 manual suitable CASNUB Bogies Supply calibration certificate NABL approved laboratories 
,,,,,,,,Pedestal Crown roof gauge per Fig.No.28 RDSO G-95 manual suitable CASNUB Bogies 
,,,,,,,,Supply installation GPS based in- car LED display displaying speed Kms date time specification attached 
,,,,,,,,Dust bins plastic 12 ltrs capacity wrinkle type cover make Chetan Nilkamal Cello 
,,,,,,,,Dust bin plastic 30 ltrs capacity wrinkle type cover make Chetan Nilkamal Cello Tupperware Signoraware 
,,,,,,,,Common pipe bracket assembly complete along CR Escorts part No 206 KBI Part No KD-206 FTIL Part No 620002000 SIL Part No 08210622 suitable mounting DV INSPECTION BY RDSO 
Drg.No.Sr.CDO/S/ADI/2 ,,,,,,,,Push type flush valve per Sr.CDO/ADI ATL-II coaching depot kankariya ahmedabad Drg enclosed 
,,,,,SKA make Tower Cloths Cylindrical shape Special fabric suitable ASKA inflatable lighting towers part model No FAB-2022 ,,,A 
Drg.no 34391741001,,,,,,,,Inspection cover TM 4601 AZ/BX per BHEL P1 use DEMU Power Car/Tower Car Makes -BHEL/Inder Engineering/Bhopal Electrica/Balaji Enterperies OEM/Authorized dealers quote 
,,,,,,,,Thermostat Valve Kit Air Compressor OEM Part No.2205490591 Make Chicago Pneumatic Model CPC 60 
,,,,,,,,CARTRIDGE SP-200 BLACK HIGH YIELD RATING NOT LESS THAN 2600 PAGES SUITABLE TO WORK ON RICOH SP 200 LASER PRINTER 
,,,,,,,,Air Filter Element Air compressor OEM Part No.2205131201 Make Chicago Pneumatic Model CPC 60 
,,,,,,,,Air Oil Separator Element Air Compressor OEM Part No.2205406518 Make Chicago Pneumatic Model CPC 60 
,,,,,,,,Inter cooler ELGI Part No 000216130 ELGI make Air Compressor Model TRC 2507 Note OEM/Authorised dealers ELGI iwht valid authorised certificate need quote 
,,,,,,,,Roto Air Plus Oil Tin 20 ltrs capacity Air Compressor OEM Part No.6215714500 Make Chicago Pneumatic Model CPC 60 
Drg.No 2580130024,,,,,,,,Shunt Clamp assembly 22PC per BHEL V01 suitable power contactor BHEL-DEMU Power Car/Tower Car Makes BHEL/Inder Engineering/Bhopal Electrical/Balaji enterprises OEM/Authorized dealers quote 
Drg.No.CG-11085 ,Alt.3 ,,,,,,,P-Trap Interface Dia.150mm RDSO 
Drg.No.CG-15090 ,,,,,,,,Modified shim size 5mm thickness Material Fe410W IS 2062-2006 AAR percent u2018H percent u2019 Type tight lock CBC per RDSO 
Drg.No.MI005328 ,Alt.b ,,,,,,,Chlorine filter Bio-toilet RCF 
,,,,,,,,SS.Hex head screw complete mounting DRDE Bio-Digester system conventional SG Coaches consisting 3 items 1 SS.Hex head screw M16 x 60 A2-70 IS 1367 Part-14 IS 1364 Part -2 -2002 2 SS.Nylock Nut M16 A2-7 IS 1367 Part-14 IS 7002-2005 3 Spring washer B16 IS 3063-1994 Coating MDTS-057 
DRG.NO.SC/CHG/MISC/01/2015 ,,,,,,,REV.00 ,VINYLE STICKER PASTED ON ACRYLIC SHEET TRANSPARENT IN COACHES AS PER S.NO.9 
,,,,,,,,Buffer Height measuring gauge suitable measuring height CBC Measuring range -900mm 1130mm Accuracy /-1.0mm 
Drg.No.SC/Chg/misc/01/2015 ,,,,,,,rev.00 ,Vinyle stickers pasted acrylic sheet Transparent coaches per Item S.No.1 
