UNIT *,PRODUCT CODE,DESCRIPTION,SPECIFICATION
24,60640660,SET OF FRP COVER PLATE FOR SNMGDPC COACHES AS PER MPLFRPCPSNMGDPC VERSION 0,
24,60640672,SET OF FRP OF END WALL PANEL FOR SNMGDPC COACHES AS PER MPLFRPEWDPC VERSION 1,
24,60640684,SET OF FRP PANELS ON PARTITION FRAMES FOR SNMGDPC COACHES AS PER MPLFRPPFDPC VERSION 1,
24,60640696,SET OF ELECTROPLATED MOULDING OF DUCTING ARRANGEMENT FOR SNMGDPC COACHES AS PER MPLEPMSNMGDPC VERSION 0,
24,60640702,"LAYOUT OF NOTICES & NUMBER PLATES OF COMPOSITE (AC3T+AC2T) COACHES AS PER EW64103 ALT A  W/O ITEM NO.03 TO 06, 09, 11, 15 & 16",
24,60640726,CDTS FOR ICF COACHES (GS) W/O SS INLAY AND WALL PROTECTOR INSTALLATION & COMMISSIONING INCLUSIVE AS PER RDSO SPEC. C-9906 REV.02 ( ONE SET CONSISTS OF FOUR INDIAN),
16,60640910,UNIFIED NOTICE FOR FIRE PREVENTION & SAFETY. MADE FROM 20G (0.91 MM THICK) MINIMUM ALUMINUM SHEET TO IS: 737/86 HARD ANODIZING FROM BOTH SIDES OF PLATE CHEMICALLY ETCHED PROCESS WITH SCRATCH PROOF TO DRG. NO. K-3028 ALT-03 FOR DIMENSION & ALL PURPOSES TO IS: 737/86,
2,60640921,NOTICE KIT FOR AC COACHES CONSISTING OF 13(THIRTEEN) ITEMS AS PER ANNEXURE ATTACHED.,
99,60640921,NOTICE KIT FOR AC COACHES CONSISTING OF 13(THIRTEEN) ITEMS AS PER ANNEXURE ATTACHED.,
24,60641019,NUMBER PLATE FOR SEATS AS PER DD64100 ALT NIL,
24,60641020,HAND RAIL COMPLETE AS PER CC64313 ALT NIL,
24,60641032,HAND RAIL COMPLETE AS PER CC64315 ALT NIL PACKING INSTRUCTION : PI012,
24,60641044,HAND HOLD AS PER DD64104 ALT NIL,
10,60641147,SNACKS TABLE FOR NON-AC JAN SHATABADI CHAIR CAR (TYPE 1) DRG. NO. LLH 23/2014. MATERIAL & SPECIFICATION TO RDSO SPEC> C 8409 REV-1.,
9,60641834,BEARING PIECE FOR ATTENDANTS SEAT POSITIONS 1 & 2 DRAWING NO. F.64147,F 6 4 147
3,60641858,"BARREL BOLT (MIDDLE) DRAWING NO. SK-75527 ALT-4, ITEM NO.-14.",
9,60642139,FOLDING TABLE ARRANGEMENT TO DRG. NO. F-6-4-172 ALT. T/13 COL.I.,F 6-4-172
3,60642140,HEAVY WEIGHT (TYPE-1) MILD STEEL BUTT HINGE 100 MM SPEC. NO. IS:1341/92 (REAFFIRMED 2007).,
5,60642280,COAT  HOOK  TO,
9,60642280,"COAT HOOK TO ICF DRG.NO.-ICF/STD-6-4-010, ALT.-P/2 (OR LATEST) COL-L.",WTAC 3/6/4/302
13,60642280,COAT HOOK TO ICF DRG.NO. ICF/STD-6-4-010 ALT. N/2 COL. 1. MAT. AND SPECN. AS PER DRG.,
14,60642280,"COAT HOOK TO DRG NO.ICF/STD 6-4-010, COL.I, ALT.""P"".",
24,60642280,HAT AND COAT HOOK AS PER C/CF-86 ALT 1,
4,60642462,"SHELF BELOW MIRROR FOR A.C. COACHES TO ICF DRG. NO. EGFSCZAC-6-4-016 ALT.C/11, COL.I. MATL. AND SPECN. IS : 737/2008, 31000-H2 FOR ITEM 1 AND 3, RDSO SPEC. NO. C-K514 WITH AMNDT. SLIP NO. 3 OF JAN 2010 FOR ITEM 5 I.E. PANEL AND IS:740/1977 REAFFIRMED 2001,64430 FOR ITEM 9.",
24,60642589,NUMBER PLATES FOR SEATS AS PER SE64149,
24,60642590,NUMBER PLATES FOR BERTHS AS PER SE64170 ALT B,
24,60642671,LADDER FOR UPPER BERTH WFAC3-6-4-301 COL 1 ALT C AS PER OF THICK 1.6MM ALLOWED INSTEAD OF SIZE 31MM X 20MM X 2.5MM GIVEN IN,
24,60642784,FURNISHING PLATE AS PER RCFM 308.DP,
2,60642887,"TABLE SUPPORT COMPLETE TO DRG. NO. ICF/STD 6-4-001, COL. NO. 1, ALT. NO. ""D/2"" OR LATEST",
10,60642887,"TABLE SUPPORT COMPLETE TO DRG. NO. ICF/STD 6-4-001, COL. NO. 1, ALT. NO. ""D/2""",
99,60642887,"TABLE SUPPORT COMPLETE TO DRG. NO. ICF/STD 6-4-001, COL. NO. 1, ALT. NO. ""D/2"" OR LATEST",
24,60643089,STICKER FOR WESTERN STYLE AS PER CC64165 ALT A AND MDTS 156 REV.5,
12,60643156,"FOLDIND TABLE ARRANGEMENT FOR NON-AC SLEEPER COACHES AS PER RCF DRG. NO.-CC 64283, ALT.-C.",
16,60643156,"FOLDING TABLE ARRANGEMENT FOR NON AC SLEEPER COACHES AS PER RCF DRG. NO. CC64283 ALT-B. WITHOUT ITEM NO. 5, 6, 11. THE COLOUR, SHADE AND PATTERN OF THE TOP PANEL OF ITEM NO. 1 PANEL ASSEMBLY SHALL BE AS PER LP SHEET SAMPLE CODE NO. NAC-SP-05. THE SIZE OF FOUR NO. HOLES ON ITEM NO. 2 ANGLE COMPLETE FOR MOUNTING OF TABLE TO BE  05.2MM INSTEAD OF 014MM. THE ALUMINIUM ANGLE TO IS: 737-1986 BRIGHT ANODIZED OF ELEGANT FINISH TO SIZE 20 X 15 X 2MM THICK TO BE PROVIDED AROUND THE PANEL ASSEMBLY INSTEAD OF FRP BEADING SCREWED SUFFICIENTLY FROM SIDES FOR COMPACT DESIGN.",
7,60643168,"NUMBER PLATES FOR SEATS AND BERTHS FOR SLEEPER CLASS COACHES TO RDSO DRG NO:SK-K0006, ALT:NIL.",
7,60643170,"ALUMINIUM IDENTIFICATION TAG FOR SPHERICAL ROLLER BEARING , MATERIAL SPEC.TO IS:737- 2008, 31000  TO SCR/LGD'S DRG NO:SCR/C&W/LGD/SK-0904, ALT:3.",
24,60643170,NOTICE FOR CHAINING LUGGAGE BELOW SEAT AS PER SCN-6-4-312 ITEM 1 AR,
24,60643181,BACK PLATE FOR ASH TRAY AS PER FC-6-4-017 ITEM 1,
12,60643200,ALLUMINIUM NUMBER PLATES FOR SEAT & BERTHS (CN COACHES ONLY),
16,60643200,"ALLUMINIUM NUMBER PLATES FOR SEATS & BERTHS NO. 1 TO 72 FOR SCN COACHES AS PER DRG. NO. ICF/STD-6-4-023, COL-XVI  ITEM 18 . ALT-M, AND REVISED ALLUMINIUM NO. PLATES FOR BERTH TO DRG. NO. CRW/SK-926 ITEM NO. 1  (DIAMETER OF HOLES TO BE 4.3 MM INSTEAD OF 3.5MM)",
16,60643211,"SEALED WINDOW GLASS UNIT FOR BODY SIDE DOOR SIZE:- 605 X 550 X 25.5 MM THICK AS PER RCF DRG. NO CC-54208, ALT.-C [CEC].",
12,60643223,SEALDED WINDOW GLASS UNIT FOR LAVOTARY SIZE 605 X 550 X 25.5 MM,IS: 2553 PART I
16,60643223,SEALED WINDOW GLASS UNIT FOR LAVOTARY SIZE-605X550X25.5 MM IS: 2553 PART-I,
5,60643235,BODY SIDE MAIN DOOR WITH SEALED WINDOW GLASS UNIT FOR RCF MAKE AC COACHES (50% LH SIDE & 50% RH ).,MAT SPEC.AS PER DRG.
8,60643235,SNACK TRAY ALUMINIUM,
9,60643235,"SNACK TABLE FOR A/C CHAIR CAR COMPLATE TO CWM PL'S DRG/NO.C/CF-385/C, ALT 1,MATERIAL CONFIRMATION TO  RDSO SPECN.NO. RDSO/2007/CG-01(APR.07), WITH AMND. SLIP NO.-2 OF AUGUST-2016.",RDSOTECPNOC8107
13,60643235,SNACK TABLE FOR AC-CZ TO JUDW DRG NO. JUDW/MECH-114,
12,60643247,"SNAKE TABLE ARM COVERS TO DRG.NO. CRW/SK -760, ALT-1.",
13,60643247,"SNACK TABLE FRP  FOR  AC-CZ   TO AMV  DRG NO. AMV/C&W/1353/94, JUDW/MECH..99-181",
16,60643247,"SNACK TABLE ARM COVERS TO DRG. NO.-CRW/SK-760, ALT-1.",
2,60643259,"MAGAZINE BAG COMPLETE TO DRG. NO. ICF/STD-6-4-031, COL.-I & II, ALT. NO. - B/2 (COL. I-54 % & COL. II-46%).",
3,60643259,MAGAZINE BAG TO DRAWING NO.CME/SK 2277  ALT [1] SPECIFICATION 802-M SPECIFICATION/ 2014/03/MAGAZINE BAG.,
5,60643259,"MAGAZINE POUCH FOR N/AC CHAIR CAR,",MAT.SPEC:- ICF SPEC. NO. ICF/MD/SPEC.-119 (REV-4) OR LATEST.
7,60643259,"MAGAZINE BAG [BLUE COLOUR] TO RCF DRG NO: LW-64135, ALT: B/NIL.",
9,60643259,"MAGAZINE BAG COMPLETE TO RCF DRG.NO.-AE-64237,ALT- -A/NIL(OR LATEST). NOTE:STANDARD BLACK COLOUR SHALL BE USED FOR NYLON WIRE FISH NET,CLOTH AND STITCHING.",AE 64237 ALT A/NIL(OR LATEST)
10,60643259,"MAGAZINE BAG COLOUR BLUE TO DRG.NO.ICF/STD-6-4-031/COL-I,ALT-'B'.",
11,60643259,"MAGAZINE BAG FOR AC AND NON-AC  COACHES  ICF/STD-6-4-031, COL-1 & COL-II (70%  BLUE & 30% BROWN)",AS PER DRAWING.
12,60643259,"MAGAZINE BAG COLOUR BLUE DRG.NO.ICF/STD-6-4-031/COL-1, ALT-2 AND B.",
13,60643259,MAGAZINE  BAG  TO DRG  NO CC-64363 WITH ALT B  COLOUR OF NET BROWN FOR AC COACHES.,
15,60643259,"MAGAZINE BAG DRG. NO. WGSCWAC-6-4-027 ALT-F, COLOUR OF ITEMS-3&5 SHOULD BE FRENCH BLUE TO SHADE NO.166 OF IS:5-1994 OR SIMILAR.",
99,60643259,"MAGAZINE BAG COMPLETE TO DRG. NO. ICF/STD-6-4-031, COL.-I & II, ALT. NO. - B/2 OR LATEST ( COL. I-54 % & COL. II-46 %.",
5,60643260,MAGAZINE BAG.,MAT SPECIFICATION: AS PER DRG.
5,60643417,ZERO - B - FILTER.,SPECIFICATION RDSO/C - 9019.
7,60643466,"NUMBER PLATE FOR BRAKE CYLINDER. TO TPYS DRG.NO. PD/TPYS/SCR/C&W/A4-77
, ALT:NIL.",
24,60643508,MIRROR AS PER WGSCWAC-6-3-008 ITEM-1 ALT 'C',
1,60643510,"[LAVATORY RAIL FITTING] ONE SET CONSIST OF 1 NO. HAND RAIL DRG. NO. ICF/STD-6-3-009, ALT-C/NIL AND 1 NO. TOWEL RAIL TO DRG. NO. ICF/STD-6-3-010, ALT-B/NIL. MATERIAL AND SPECIFICATION AS PER DRG.",
5,60643510,HAND RAIL COMPLETE,SPECIFICATION : AS PER DRG.
8,60643510,"HAND RAIL OF LAVATORY (UPPER CLASS) FOR AC COACHES. ICF DRAWING NO.ICF/STD-6-3-009,ALT-C/NIL,ITEM-1 AND 2 IN ASSEMBLED CONDITION. MATERIAL AND SPECIFICATION AS PER DRAWING.",
12,60643510,"HAND RAIL COMPLETE FOR COMMODE [LAVATORY] TO ICF DRG.NO. ICF/STD-6-3-009, ALT-'C'.",
16,60643510,"HAND RAIL COMPLETE FOR COMMODE(LAVOTARY) TO DRG. NO.- ICF/STD-6-3-009, ALT-'C' OR LATEST.",
2,60643661,"EMERGENCY WINDOW  NOTICE (90 X 195) TO ICF'S DRG . NO. SCN 5 6-4-503, ITEM NO-3, ALT. NO.- 'E' (STICKER TYPE) OR LATEST",
12,60643661,"NOTICE FOR EMERGENCY OPENABLE WINDOW AS PER ICF DRG.NO. SCN 5-6-4-503, ITEM NO.3, ALT- H.",
16,60643661,"NOTICE FOR EMERGENCY OPENABLE WINDOW AS PER ICF DRAWING  SCN 5-6-4-503, ITEM NO.3 ALT-E",
99,60643661,"EMERGENCY WINDOW  NOTICE (90 X 195) TO ICF'S DRG . NO. SCN 5 6-4-503, ITEM NO-3, ALT. NO.- 'E' (STICKER TYPE) OR LATEST",
5,60643764,DRINKING WATER TANK 100 LTRS CAP.,MATL.& SPECN. AS PER DRAWING.
5,60643788,"HOT WATER BOILER WITH STAND ( LPG OPERATED ),",SPEC: AS PER DRG.
5,60643790,"""COOKING RANGE FOR WCB COACHES COMPLETE,",MAT SPEC: AS PER DRG.
5,60643806,COOKING RANGE FOR W.C.B. COACHES.,SPECIFICATION: AS PER DRAWING.
2,60643818,"STICKER NOTICE CONSISTING OF6-TYPE OF STICKER FOR NON-AC-COACHES CONSISTING OF 06 ITEMS ARE AS UNDER:-1)UNIFIED NOTICE FOR FIRE PREVENTION AND SAFETY TO DRG.NO. ICF/STD-6-4-022, ALT.NO.-J,QTY/KIT-02NOS.2). ALARM & PENALTY NOTICE TO DRG.NO. ICF/STD-6-4-030,ALT.NO.-A ,QTY/KIT-09 NOS. 3).NOTICE FOR LAVATORY TO RDSO'S SK-74005,ALT.NO.-E/3,QTY/KIT-04 NOS. 4)LUMINOUS NOTICE FOR EMERGENCY WINDOW TO ICF'S DRG.NO. SCN5-6-4-503,ITEM NO.-3,ALT.NO.-H,QTY/KIT-04 NOS. 5)STICKER FOR ""HINDI HAI HUM,WATAN HAI HINDUSTAN HAMARA"" TO SK.NO.LLH-18/02,ALT.NO.-4, QTY/KIT-02 NOS.",
10,60643818,"STICKER NOTICE OF SIX ITEMS AS FOLLOWS:-A.UNIFIED NOTICE FOR FIRE PREVENTION AND SAFETY AS PER SPECN.ICF/STD-6-4-022,ALT-I FOR 2 NOS/SET.B)ALARM AND PENALTY NOTICE AS PER SPECN.ICF/STD-6-4-030,ALT-A FOR 9 NOS/SET.C)NOTICE FOR LAVATORIES AS PER SPECN.RDSO/SK-74005,ALT-E/3 FOR 4 NOS/SET.D)LUMINOUS NOTICE FOR EMARGENCY WINDOW AS PER SPECN.ICF/SNC5-6-4-503,ITEM-3,ALT-H FOR 4 NOS./SET.E)STICKER FOR 'HINDI HAI HUM WATAN HAI HINDUSTAN HAMARA' AS PER SPECN. NO.LLH/SK-18/02,ALT-4 FOR 2 NOS/SET.F)TRACEABILITY STICKER FOR OVERHAULING COACHING EQUIPMENT AS PER SPECN NO.LLH/SK-5/2002,ALT-2 FOR 4 NOS/SET SEE DESCRIPTION",
99,60643818,"STICKER NOTICE CONSISTING OF6-TYPE OF STICKER FOR NON-AC-COACHES CONSISTING OF 06 ITEMS ARE AS UNDER:-1)UNIFIED NOTICE FOR FIRE PREVENTION AND SAFETY TO DRG.NO. ICF/STD-6-4-022, ALT.NO.-J,QTY/KIT-02NOS.2). ALARM & PENALTY NOTICE TO DRG.NO. ICF/STD-6-4-030,ALT.NO.-A ,QTY/KIT-09 NOS. 3).NOTICE FOR LAVATORY TO RDSO'S SK-74005,ALT.NO.-E/3,QTY/KIT-04 NOS. 4)LUMINOUS NOTICE FOR EMERGENCY WINDOW TO ICF'S DRG.NO. SCN5-6-4-503,ITEM NO.-3,ALT.NO.-H,QTY/KIT-04 NOS. 5)STICKER FOR ""HINDI HAI HUM,WATAN HAI HINDUSTAN HAMARA"" TO SK.NO.LLH-18/02,ALT.NO.-4, QTY/KIT-02 NOS.",
2,60643820,NOTICE FOR DUTIES OF COACH ATTENDANT IN UPPER CLASS COACHES SIZE:190X140X1.6MMTHICK TO RDSO'S SK-82115.ALT.NO.-1(ONE) OR LATEST (MATERIAL:MILD STEEL SHEET 1.6MMTHICK)TOIS:1079.,
99,60643820,NOTICE FOR DUTIES OF COACH ATTENDANT IN UPPER CLASS COACHES SIZE:190X140X1.6MMTHICK TO RDSO'S SK-82115.ALT.NO.-1(ONE) OR LATEST (MATERIAL:MILD STEEL SHEET 1.6MMTHICK)TOIS:1079.,
24,60643831,COACH NUMBER PLATE AS PER SLR-6-4-006 ITEM 10 ALT 'E',
24,60643843,HOOD AND SLIDING DOOR STOP FOR SLR COACHES AS PER SLR-6-4-009 COL. I ALT 'A',
24,60643855,STRAP AS PER SCN-6-4-313 ITEM 7,
5,60643867,"COAT HOOK ,",MAT.SPECN: AS PER DRG.
5,60643879,LADDER WITH PU FOAM [BLACK] FOR SCN.,SPECIFICATION : AS PER DRG.
5,60643892,"LONGITUDINAL  RACK,",MATL. SPECN. - AS PER DRG.
5,60643909,"FOLDING  DOWN  TABLE,",MATL. SPEC. -AS PER DRG.
2,60643910,"NOTICE FOR NON-COMPARTMENT TYPE COACHES SIZE:230 X 170 X1.6 MM THIC TO RDSO'S SK.NO. 74002,ALT.NO.4(FOUR) OR LATEST. MATERIAL: ALUMINIUM SHEET 1.6 THICK TO . IS:737,NS 3H.",
99,60643910,"NOTICE FOR NON-COMPARTMENT TYPE COACHES SIZE:230 X 170 X1.6 MM THIC TO RDSO'S SK.NO. 74002,ALT.NO.4(FOUR) OR LATEST. MATERIAL: ALUMINIUM SHEET 1.6 THICK TO . IS:737,NS 3H.",
24,60645001,BRACKET FOR FIXING STRETCHER COLOUR SHADE SATIN BLUE TO ISC-177) MD22151 DT 26.05.08 AS PER LB64142,
24,60645013,SEAT CAPACITY PLATE AS PER SLR-6-4-006 ITEM 9 ALT 'E',
3,60645025,NUMBER PLATE FOR SEAT [1 TO 90] DRG NO :- SG-64101 ALT - [NIL],
24,60645025,NUMBER PLATE FOR SEATS 1 TO 90 AS PER SG64101 ALT NIL,
1,60646005,"STAINLESS STEEL SWIVEL TYPE COAT HOOK [THREE  PRONGED]TO DRG. NO. ICF/STD-6-4-010, ALT-Q/2.

MATERIAL AND SPECIFICATION AS PER DRAWING.",
7,60646005,"COAT HOOK STAINLESS STEEL FOR NON AC COASHES & MATERIAL  SPEC. CONFIRMING TO AISI 202 TO ICF DRG.NO.ICF/STD-6-4-010,COL-1,ALT.L/2 ( SMALL-""L""/2)..",
9,60646005,COAT HOOK CAST IRON IRS C/CF.55 DRAWING NO. IRSC 64CF55,IRSC 64CF55
12,60646005,"SWIVEL TYPE COAT HOOK [STAINLESS STEEL] TO DRG. NO. MISC SK. 3648, ALT-2.",
15,60646005,"COAT HOOK (REVOLVING TYPE) TO DRG. NO. ICF/STD-6-4-010 ALT-Q-2, COL-I.",
16,60646005,"COAT HOOK (STAINLESS STEEL) TO DRG. NO.- ICF/STD -6-4-010, ALT-2 & N.",
24,60646005,COAT HOOK AS PER CC63157 ALT B QUALITY PLAN: QMQ 1392 VER.01,
7,60646017,"COAT HOOK TO ICF DRG NO:ICF/STD-6-4-010, COL-1, ALT:Q/2.",
15,60646017,COAT HOOK CAST IRON CHROMIUM PLATED,
3,60646029,"BARREL BOLT (BOTTOM). DRAWING NO.SK-75527 ALT-4, ITEM NO.- '23.",
3,60646030,NON AC PANTRY,
3,60646042,STAINLESS STEEL TUBE FOR CURTA,
24,60646054,FOOT HOLD BRACKET AS PER RDSO /SK-60199 ALT.-5,
1,60646078,"ASH TRAY CHROMIUM PLATED  TO DRG. NO

*   CA/CF-1516.",
9,60646078,ASH TRAY COPPER TO IR PART DRG.NO.CA/CF-1514.,CA/CF 1514
12,60646078,"ASH TRAY CHROMIUM PLATED  TO DRG. NO
*   CA/CF-1516.",
16,60646078,"ASH TRAY CHROMIUM PLATED  TO DRG. NO

*   CA/CF-1516.",
24,60646078,ASH TRAY AS PER IRS/CA/CF-1514,
9,60646170,ASH TRAY PRESS TYPE  TO DRG NO.ICF/SK 2025 & ICF SK-642025.,ICF/SK/2025
1,60646212,GUARD'S HAND LAMP BRACKET. TO IRS DRG.NO.C/CF-224 ALT -1.,
16,60646212,GUARD'S HAND LAMP BRACKET. TO IRS DRG.NO.C/CF-224 ALT -1.,
24,60646212,GUARD'S HAND LAMP BRACKET (COLOUR SHADE SATIN BLUE TO ISC-177) AS PER C/CF-224 ALT 1,
24,60646248,NOTICE FOR COMPLAINT BOOK AS PER RDSO/SK-86163,
12,60646285,PENALTY NOTICE TO DRG.NO.,
15,60646285,PENALTY NOTICE BOARD TO RDSO SK NO.59335 ALT.2 LATEST.,
16,60646285,PENALATY NOTICE.TO DRG. NO.-,
1,60646303,PENALTY NOTICE TO RDSO DRG. NO. RDSO/SK-59335 ALT-4 AND C.RLY ALT-A. MATERIAL AND SPECIFICATION AS PER DRG.,
2,60646303,"PENALTY NOTICE(SIZE;180X90X1.6MM. THICK)TO RDSO'S SK-59335,ALT.NO-3(THREE)OR LATEST(MATERIL:MILD STEEL SHEET 1.6MM THICK) TO IS:1079",
3,60646303,PENALITY NOTICE PLATE (H&ENG.),
24,60646303,PENALTY NOTICE AS PER RDSO/SK-59335 ALT 3,
99,60646303,"PENALTY NOTICE(SIZE;180X90X1.6MM. THICK)TO RDSO'S SK-59335,ALT.NO-3(THREE)OR LATEST(MATERIL:MILD STEEL SHEET 1.6MM THICK) TO IS:1079",
1,60646352,NOTICE FOR LAVATORY INDIAN STYLE RDSO. SK 62037.,
16,60646352,NOTICE FOR LAVATORY INDIAN STYLE RDSO. SK 62037.,
5,60646480,"COAT HOOK, SWIVEL TYPE.",SPECIFICATION NO. :AS PER DRG.
6,60646480,"SWIVEL COAT HOOK (THREE PEGS) FOR ALL COACHES TO DRG NO. RCF DRG. NO.CC 64254, ALT.'E'.",
15,60646480,"COAT HOOK SWIVEL TYPE TO ICF SK-730, ALT.`L/18` (SMALL L/18)",
4,60646509,"COAT HOOK TO ICF DRG. NO. ICF/STD-6-4-010, ALT. P/2, COL. - I. MATL. AND SPEC. AS PER DRG.",
1,60646522,SHACKLE  TO IRS DRAWING  NO,
3,60646522,SHACKLE  C/CF-79 ALT.[1],
6,60646522,SHACKLE FOR UPPER BERTH CHAIN TO C/CF-79.ALT-1.,
7,60646522,SHACKLE FOR UPPER BUNK CHAIN,
12,60646522,"SHACKLE FOR BERTH [FOR CN & AC COACHES] TO DRG.NO. C/CF-79, ALT-1.",
15,60646522,"CHAIN ASSEMBLY FOR TRANSVERSE MIDDLE BERTH TO DRG.NO.SCN 6-6-1-612,COL.1.ALT""E""",
16,60646522,SHACKLE FOR BERTH (FOR CN & AC COACHES) TO DRG. NO.-,
24,60646522,SHACKLE AS PER IRSC/LF/79,
2,60646674,"STAINLESS STEEL SINK WITH DRAIN BOARD TO DRG.NO.ICF/SK-1480, ITEM NO.- 1, ALT.NO.-'E/3'.",
15,60646674,STAINLESS STEEL SUNK IN SHELF,
99,60646674,"STAINLESS STEEL SINK WITH DRAIN BOARD TO DRG.NO.ICF/SK-1480, ITEM NO.- 1, ALT.NO.-'E/3'.",
15,60646698,A) NOTICE FOR PICTORIAL REPRESENTATION FOR FIRE PREVENTION NOTICE TO DRG.NO.RDSO SK NO.777101 ALT.1. (B) NOTICE FOR FIRE PREVENTION IN HINDI TO DRG.NO.RDSO SK.NO.77102 ALT.2. (C) NOTICE FOR FIRE PREVENTION IN ENGLISH TO DRG.NO.RDSO SK.NO.77103 ALT.2.,
16,60646777,"PICTORICAL REPRESENTATION FOR FIRE PREVENTION   

  NOTICE.",
24,60646777,ICL.VL SELF ADHESIVE(PRESSURE SENSITIVE) LABEL FOR COACHING STOCK AS PER RDSO/SK-77101 ALT 1,
7,60646789,"UNIFIED NOTICE FOR FIRE PREVENTION AND SAFETY TO RDSO DRG NO:RDSO/SK-K3028, ALT:3.",
16,60646789,NOTICE FOR FIRE PREVENTION IN HINDI. RDSO,IS-597
24,60646789,"PORTABLE FIRE EXTINGUISHER AS PER IS SPECIFICATION TYPE OF EXTINGUISHING MEDIUM  POWDER, CAPACITY:6 KG, MIN.CLASS A FIRE RATING: 2A, MIN. CLASS:21 B, DESIGN: CARTRIDGE. AS PER AS PER RC ITEM NO.6 WITH MOUNTING BRACKETS AND HOOKS",
16,60646790,NOTICE FOR FIRE PREVENTION IN ENGLISH.TO RDSO DRG.NO SK 77103.ALT.2.MATERIAL &,
24,60646790,NOTICE FOR FIRE PREVENTION IN ENGLISH AS PER RDSO/SK-77103 ALT 1,
2,60646819,"NOTICE FOR ENTRANCE(SIZE:230X150 X 1.6MM THICK) TO RDSO'S SK. NO. 74001, ALT NO. 3 (THREE) OR LATEST. MATERIAL & SPECIFICATION:- ALUMINIUM SHEET 1.6 MM THICK TO IS:737, NS3H.",
3,60646819,NOTICE FOR ENTRANCES DRG.RDSO/,
7,60646819,NOTICE PLATE FOR LOWER CLASS COACHES TO RDSO DRG.NO.RDSO/SK-96012 ALT-2.,
15,60646819,"UNIFIED NOTICE FOR FIRE PREVENTION AND SAFETY TO DRG NO.ICF/STD-6-4-022, ALT L/NIL.",
16,60646819,NOTICE FOR ENTRANCES TO. RDSO(C)DRG NO SK -74001  ALT 2,
24,60646819,"NOTICE FOR ENTRANCES (IN STICKERS FORM)""TRAVEL SAFTY"" AS PER RDSO/SK-74001 ALT 3",
99,60646819,"NOTICE FOR ENTRANCE(SIZE:230X150 X 1.6MM THICK) TO RDSO'S SK. NO. 74001, ALT NO. 3 (THREE) OR LATEST. MATERIAL & SPECIFICATION:- ALUMINIUM SHEET 1.6 MM THICK TO IS:737, NS3H.",
16,60646820,NOTICE FOR COMPARTMENTS.TYPE COACHES TO RDSO.DRG,
24,60646820,NOTICE FOR NON COMPARTMENT TYPE COACHES (AL) AS PER RDSO/SK-74002 ALT 4,
1,60646832,NOTICE FOR A/C AND 1ST CLASS COMPARTMENTS.        RDSO.(W) DRG.NO SK.74003.ALT,
7,60646832,NOTICE FOR AC & IST CLASS,
15,60646832,NOTICE FOR AC -I & 1ST CLASS COMPARTMENT  TO RDSO 74003 ALT C/3,
16,60646832,NOTICE FOR A/C AND 1ST CLASS COMPARTMENTS.        RDSO.(W) DRG.NO SK.74003.ALT,
1,60646856,NOTICE FOR LAVATORIES TO RDSO DRG. NO. SK-74005 ALT-C/3. MATERIAL SPECIFICATION AS PER DRG.,
2,60646856,"NOTICE FOR LAVATORIES ( SIZE:120 X 120 X 1.6 MM THICK) TO R.D.S.O'S SK.NO. 74005, ALT. NO- 2(TWO) OR LATEST, MATERIAL::- ALUMINIUM SHEET 1.6 MM THICK TO IS: 737 NS 3 H.",
3,60646856,NOTICE FOR LAVOT,
7,60646856,NOTICE0LAVATORY,RDSO SK
12,60646856,PRINTED NOTICE FOR LAVATORY.,
15,60646856,NOTICE FOR LAVATORIES TO RDSO DRG NO.SK 74005 ALT 3,
16,60646856,PRINTED NOTICE FOR LAVATORY.,
24,60646856,NOTICE FOR LAVOTARY AS PER RDSO/SK-74005 ALT 2,
99,60646856,"NOTICE FOR LAVATORIES ( SIZE:120 X 120 X 1.6 MM THICK) TO R.D.S.O'S SK.NO. 74005, ALT. NO- 2(TWO) OR LATEST, MATERIAL::- ALUMINIUM SHEET 1.6 MM THICK TO IS: 737 NS 3 H.",
24,60646868,SWIVEL TYPE CHAIR COMMERCIAL QUALITY AS PER PCH 7031 0F M/S GODREJ AS PER PP64107 ITEM 2 ALT A PACKING INSTRUCTION NO : PI002 PART DRG. AS PER LIST NO. : NIL,
1,60647009,"PU FOAM LADDER TO ICF DRG. NO.  WGSCWAC6-6-4-606, ALT-F. MATERIAL AND SPECIFICATION AS PER DRAWING.",
8,60647009,"MOULDED PU FOAM LADDER FOR UPPER BERTH DRG.NO.ICF'S DRG.NO.WGSCWAC 6-6-4-606,ALT.D/NIL.MATL.& SPECN.:AS PER DRAWING WITH LATEST SPECIFICATION.",
9,60647010,SEAT ATTENDANT COMP IN IST CAL,F 6 4 144
16,60647010,NOTICE FOR COMPARTMENT,
24,60647010,CHANNEL AS PER SE64134 ALT NIL,
1,60647022,"STAINLESS STEEL MIRROR FRAME FOR NON-AC COACHES TO DRG. NO. MISC. SK. 3584 ALT-2.
MATERIAL AND SPECIFICATION AS PER DRAWING.",
9,60647022,NOTICE PLATE FOR IST CLASS COMPARTMENT OF ICF COACHES TO RDSO SK-74003.ALT.L.,SL-66
12,60647022,"MIRROR FRAME FOR AC & NON-AC COACHES AS PER DRG.NO. CRW-SK-655, ALT-1.",
16,60647022,MIRROR FRAME ( MODIFIED) C/RLY .,
