DRG,DRAWING_ATTACHED,SPECN,ITEM_NO,AMD_NO,SK_NO,ALT,REV,REST_SPECIFICATION,QUANTITY,REST
Drg.No.W/DW-297 ,No,,,,,ALT.1 ,,,,Flap Door Chainless cotter BOXNHL wagon RDSO 
,Yes,,,,,,,Drawing 10063 IS 8500 IS 1991 Gr 540 ,,Modified restrictor CBC SLR per RDSO Specification 
,No,,,,,,,IS 4003 I 1978 1978 450 1978 18 percent 201 opening 60 ,,ISI marked pipe wrench stillson type per length maximum approx Taparia make equivalent Everest Mekaster 
,No,,,,,,,PVC 40 IS 14927 part 2 ,,casing caping per Makes SGL JUVAS MODI Sudhakar AGK Note OEMS authorized dealer quote along authorization certificate Firms mention item shall enclose relevant technical leaflet 
,No,,,,,,,code 2205490592 CPD 75 ,,Thermostat valve kit stock suitable Pneumatic screw Air Compressor model Make Chicago Denver OEM authorized dealers quaote valid certificate 
,No,,,,,,,capacity 03 length 1.8 ratio 5 ratio 1 ,,Polyster heavy duty Road endless sling tones meters anti abrasive cover along OEMs test certificate Make Slingset Samson Ferre terro Spanset 
,No,,,,,,,part .070401790 TRC 2507 ,,Key Wood Ruf ELGI ELGI make Air Compressor model dealers ELGI need quote 
Drg.no ICF/SK-4-2-097 ,No,,,,,,,,,Lavatory Air coaches Lavatory Air Exhauster Non-AC coaches ICF Col-I Note Offers ICF approved sources considered 
Drg.No.ICF/STD-6-3-106 ,No,,,,,,,,,Controlled discharge Flush Valve Assembly Controlled discharge Flush Valve Assembly ICF Col-I ICF Approved sources considered 
Drg No.SK-98003 ,No,,,Amendment No.03 ,,,,Reservoir 200 spec .02 spec 02 April 2010 Reservoir 200 spec .02 spec 02 April 2010 ,,Drain cock Assembly Auxiliary litres conforming RDSO Drain cock Assembly Auxiliary Reservoir 200 litres conforming RDSO spec No.02-ABR-02 April 2010 Appendix-C RDSO RDSO Approved vendors considered 
,No,,,,SK-10-2-420 ,Alt 02 ,Rev No 02 ,ICF/ 1 ICF/ 2 No 3 3KB 1089 No 70372 ,,inch Isolating cock vent special Escorts Part M/s WSF Part No similar per ICF Specification No 
,No,,,,,,,No 54 ,,Short Body Bib cock per Jaquar Model Hindware Foam type 
,No,,,,,,,make 3 consisting 21 ,,Maintenance Trouble shooting Rubber kit suitable Faively Inbuilt Relay Valve items per enclosed Annexure 
,No,,,,,,,No 83929 No 1 ,,Contact spring complete brake isolating valve brake controller WSF make per WSF part 
,No,,,,,,,,,Commode Seat Cover Coated 
Drg.No RITES/TP 9405-,No,,Item No.9 ,,,Alt 9 ,,plate 001 WD 80007 WD 14 80007-S-14 6 Item-6 .22 ,,Yoke support Or 
Drg.No.SC/Chg/Misc/01/2015 ,No,,,,,,Rev.00 ,per .5 ,,Vinyle stickers passted Acrylic sheet Transparent coaches 
Drg.No.SC/Chg/Misc./01/2015 ,No,,,,,,Rev.00 ,per .10 ,,Vinyle stickers pasted Acrylic sheet Transparent coaches 
Drg.No.SC/Chg/Misc./01/2015 ,No,,,,,,Rev.00 ,per .11 ,,Vinyle stickers pasted Acrylic sheet Transparent coaches 
Drg No M C W. LTT Soap container casing dt 15.10.2007 ,No,,,,,,,made 3 ,,Liquid soap container covers Acrylic sheet per central railway 
Drg No.CONTR-9404-,No,,"Item Nos 4,5 6 7 ",,,Alt.12 ,,wagon 15 ,,Liner set sider bearer BLC latest 
,No,,,,,,,OF 3 LENGTH 1 IS 1269 1269 2 PART-2 1997 ,,ISI MARKED STEEL MEASURING TAPE METER AS PER TYPE OF CASING Freeman BOSCH Panther 
,No,,,,,,,Model 99 ,,Digital Lux Meter Of similar specification attached 
,No,,,,,,,No 83929 No 1 ,,Contact spring complete brake isolating valve brake controller WSF make per WSF part 
,No,,,,,,,NO 02057958 GX 300 ,,Pinion Shaft ring Gear Transmission suit godrej part For use Godrej Fork lift Model 
Drg.No.SC/Chg/Misc./01/2015 ,No,,,,,,Rev.00 ,per .11 ,,Vinyle stickers pasted Acrylic sheet Transparent coaches 
,No,,,,,,,@ 20 C 1.24 solvents 40 degree 210 point 20 Viscosity 80 /- 130 Gravity 0.93 gt 70 ,,Rubber Gasket remover remover defective gasket transformer Rubber Gasket remover remover defective gasket Regulator Pre-cooling transformer alternator Technical Viscous opaque liquid Specific @ Boiling Range degreeC Freezing 20 degree C Flash Mixture pH Neutral Specific Gravity Solubility Soluble water flash Point degree Only authorized dealers quote OEMs authorized dealer mention item shall enclose relevant technical leaflet 
,No,,,,,,,Size 250 Traverser 70 Model 066 ,,Geared Coupling Full geared OD suitable Ton Cap Unique Indusrial Handlers make 
,No,,,,,,,OF 12 ,,POH KIT FOR APPLICATION AND HOLDING MAGNET VALVE WSF MAKE EP BRAKE VALVE CONSISTING OF ITEMS AS PER DETAILED PART LIST MENTIONED OVERLEAF 
Drg.No ICF/STD-4-3-017 ,No,,,,,Alt-a ,,moulding 1 moulding 47 moulding 2000 Total 22 dia 5 distance 195 ICF 3 ,,Stainless steel angle holes provided equally spaced 
,No,,,,,,,style 54 size 5 x 5 x 2 temperature 550 pressure 40 compliance 2712 compliance 1998 ,,Non metalic asbestos sheet champion equivalent Spitman Brand 5 x thickness Max Degrees C Max Specification brand The supplied asbestos sheet soft specified alongwith offers otherwise athe offers passed 
Drg.No WGSCWAC-6-1-029 ,No,,item No 65 ,,,,,directory .7 directory .1 directory .1 page 57 57 221 ,,Supply conductor Berth ICF procured RDSO Approved sources per vendor 
Drg.no.ICF/SK-5-4-279 ,No,,,,,alt-e ,,unit 1220 unit 560 ,,Sealed Window Emergency window 
,No,,,,,,,size 15 No 11 No 280001 No 11 ,,Pillar cock Foam flow type Body brass chrome plated per Gold Line Model Hindware Model No Jaquar Model No 
,No,,,,,,,CASNUB 22 percent 2013 percent 2013 Fig .44 RDSO 95 ,,Friction shoe wear gauge W W M percent u2013 NL NLB HS bogies manual 
,No,,,,,,,Specifications 1 consumption 40 approx 2 tubes 2 2feet 3 Dimensions 650 x 660 Model 001 ,,catcher UV Lamps Two approx Equivalent SAMSON Make SAMSON WANTRN FLYNIL 
Drg.No.ICF/SK-6-3-446 ,No,,,,,Alt-c/nil ,,,,Supply stainless steel auxiliary roof water tank AC Coaches roof mounted AC package unit 
,No,,,,,,,compressor 53 IS 5456 receiver 1000 ,,Supply installation commissioning air CFM capacity per along air liters capacity Technical specification attached 
,No,,,,,,,Model 500 ,,Mini cabinet electrode drying oven equivalent III make Haridas Technical specifications enclosed 
,No,,,,,,,gauge .27 CASNUB 22 w 22 WM .27 RDSO 95 ,,Pedestal crown roof W WM manual 
,No,,,,,,,size 1 ,,Curtain ring made plastic inner diameter Colour Brown 
Drg No WD-90002-,No,Specn.No.07 ABR-1992 ,,Amendment No 04 ,,,,IRSA 600 ,,Control rod head complete SAB type conforming RDSO 
,No,,,,,,,wedge.ref.fig .4 wedge.ref.fig .10 ,,Gauge checking combined wear bolster side frame RITES manual BLC wagon 
Drg No pc-491 ,No,,,,Sk-10-2-420 ,,Rev.No 2 ,ICF/ 1 ICF/ 2 No 4 No 16014 No 2 Drg.No 30760633 Drg.no 2969012010 Drg.No 152979 ,,inch Release Escorts part M/s M/s M/s Drg.No conforming 
Drg.No WGSCWAC-6-1-029 ,No,,item No 65 ,,,,,directory .7 directory .1 directory .1 page 57 57 221 ,,Supply conductor Berth ICF procured RDSO Approved sources per vendor 
,No,,,,SK-10-2-420 ,Alt 02 ,Rev No 02 ,ICF/ 1 ICF/ 2 No 3 3KB 1089 No 70372 ,,inch Isolating cock vent special Escorts Part M/s WSF Part No similar per ICF Specification No 
Drg.No.WD-92081-,No,,,,,Alt-10 ,,RDSO 57 S-57 2 Bush 92081 Bush 58 Drg.No.WD-92081-S-58 2 Item-2 3 ,,Eye bolt nut Item-2 
,No,,,,,,,installation 12 installation 50 ,,Supply SMPS battery charger suitable charging batteries fork lift truck lister trucks etc Specification attached 
,No,,,,,,,wrench 14 wrench 56 TW 400 ,,Torque Ratchet similar Model make MACMASTER Make TORQUE MASTER MAC MASTER 
,No,,,,,,,CAPACITY 18.5 spacing 18.5 distance 150 minus 1 distance 75 minus 10 ,,PERMANENT MAGNETIC YOKE WITH LIFTING KGS ALONG WITH TEST CALIBRATION CERTIFICATE SOURCES VALID FOR ONE YEAR SPECIFICATION Minimum lifting capacity maximum pole 18.5 plus Min pole distance plus minus 
,No,,,,,,,size 6 X 60 Nut 01 01No 01 approx 50 ,,GI Hex head bolt suitable Each Kg consists 
,No,,,,,,,percent 2013 percent 2013 u2013 0.50 percent 2013 u2013 1.0 1.0mm 2.0 percent 2013 u2013 3.0 percent 2013 u2013 4.0 percent 2013 u2013 5.0 5.0mm 6.0 percent 2013 u2013 7.0 percent 2013 u2013 8.0 percent 2013 u2013 9.0 percent 2013 u2013 10.0 10.0mm 12 percent 2013 u2013 200 ,,Feeler gauges set consists size one number Size percent u2013 percent u2013 percent u2013 percent u2013 percent u2013 percent u2013 percent u2013 percent u2013 percent u2013 Each size percent u2013 long 
,No,,,,,,,enclosed 2000 maximum 10 IS 2062 ,,litres Air receiver working pressure along test certificate accessories per specifications List accessories specifications 
,No,,,,,,,CAPACITY 18.5 spacing 18.5 distance 150 minus 1 distance 75 minus 10 ,,PERMANENT MAGNETIC YOKE WITH LIFTING KGS ALONG WITH TEST CALIBRATION CERTIFICATE SOURCES VALID FOR ONE YEAR SPECIFICATION Minimum lifting capacity maximum pole 18.5 plus Min pole distance plus minus 
,No,,,,,,,comprising 3 ,,Coach attention verification system RFTID BASED items Specification attached 
,No,,,,,,,dia 27 dia 19 height 30 flat 1 minimum 2 upto 3 upto 4 ,,Waste paper basket plastic upper bottom dia cms cms upper frame width thickness sheet mesh portion 
,No,,,,,,,fig .4 fig .21 ,,Pedestal crown roof gauge RITES manual BLC wagons 
,No,,,,,,,Studio 225 Studio 226 studio 225 studio 226 ,,Toshiba Tonner model e Toner xerox machine Toshiba make model e 225/226 
,No,,,,,,,Pack .17098000 ,,Maintenance kit HATZ Diesel Power 
,No,,,,,,,consists 1 make/model 2 ,,Supply installation commissioning Breath devices retro fitment existing CRIS CMS Kiosk system use crew lobbies SNF BIDAR PRLI CT It Breath analyzer Model KATS Biometric module Make Secugen Netgen Bio Enable make reputed The item shall suitable retro fitment existing CRIS CMS Kiosk systems Necessary specification item enclosed 
,No,,,,,,,gauge .4 gauge .16 ,,Center pivot RITES manual BLC wagons 
Drg.no RDSO- WD- 89060-,No,,,,,Alt.05.,,thickness 25 25 2 IS 3748 IS 90 hardness 50 hardness 55 ,,Profile checking gauge female BG flange Material tool steel HRC 
Drg.No CONTR 9404-,No,,Item No.3 ,,,Alt-8 ,,RDSO 5 ,,Center pivot liner BLC Wagon 
Drg.No.CONTR 9404-,No,,Item No.4 ,,,Alt-8 ,,wagon 5 ,,Center pivot ring BLC 
,No,,,,,,,gauge .4 gauge .13 ,,Column gib RITES manual BLC wagon 
,No,,,,,,,gauge .02 G 80 ,,Contour wron limit Manual 
Drg.No RDSO-WD-89060-,No,,,,,alt.05 ,,thickness 22 22 2 IS 3748 IS 90 hardness 50 hardness 55 ,,Profile checking gauge female BG wagons size flange Material tool steel HRC 
,No,,,,,,,gauge .1 G 80 ,,Contour worn limit manual 
Drg.No RDSO WD- 89060-,No,,,,,alt.05 ,,thickness 20 Ref 2 IS 3748 IS 90 Hardness 50 Hardness 55 ,,Profile checking gauge female BG wagons size flange material tool steel HRC 
Drg.No.ICF/STD-6-3-106 ,No,,,,,,,,,Controlled discharge Flush Valve Assembly Controlled discharge Flush Valve Assembly ICF Col-I ICF Approved sources considered 
,No,,,,,,,model 500 ,,Mini cabinet electrode drying oven equipment III make Haridas specification enclosed 
,No,,,,,,,size 0.61 x 15 Specification 1 material 2 Dia 0.6 0.6 3 base 2 2 4 Thickness 12 minus 2 ,,Poly Grass mat type red colour meter meters per roll make Duro soft PVC Synthaeic loop 2 Total Thickness Approx plus 2 
Drg.No RDSO WD- 88021 ,No,,,,,alt.03 ,,thickness 29.40 IS 3748 IS 90 Hardness 50 Hardness 55 ,,Profile checking gauge female BG wagons size flange Ref material tool steel HRC 
,No,,,,SK-312 ,,,,,Leaf spring Schaku Coupling Escort Part No equivalent RDSO Approved sources considered 
,No,,,,,,,IS 5725 IS 1970 ,,ISI marked dry wet bulb type psychrometer per Grade A 
,No,,,,,,,.Size 75 x 36 x 4 coir 03 inches.Foam 01 ,,Mattresses foam x coir inch Thickness Make KURLON Sleep well DUROFLEX NOTE Firm quote mentioned make Offer received brands summarily rejected 
,No,,,,,,,.Size 75 x 36 x 4 coir 03 inches.Foam 01 ,,Mattresses foam x coir inch Thickness Make KURLON Sleep well DUROFLEX NOTE Firm quote mentioned make Offer received brands summarily rejected 
,No,,,,,,,.Size 75 x 36 x 4 coir 03 inches.Foam 01 ,,Mattresses foam x coir inch Thickness Make KURLON Sleep well DUROFLEX NOTE Firm quote mentioned make Offer received brands summarily rejected 
,No,,,,,,,.Size 75 x 36 x 4 coir 03 inches.Foam 01 ,,Mattresses foam x coir inch Thickness Make KURLON Sleep well DUROFLEX NOTE Firm quote mentioned make Offer received brands summarily rejected 
,No,,,,,,,.Size 75 x 36 x 4 coir 03 inches.Foam 01 ,,Mattresses foam x coir inch Thickness Make KURLON Sleep well DUROFLEX NOTE Firm quote mentioned make Offer received brands summarily rejected 
,No,,,,,,,.Size 75 x 36 x 4 coir 03 inches.Foam 01 ,,Mattresses foam x coir inch Thickness Make KURLON Sleep well DUROFLEX NOTE Firm quote mentioned make Offer received brands summarily rejected 
,No,,,,,,,device 1400 No 760242272 No 428150001 ,,Assembly Nose suspension DEMU coach Motor Suspension unit CGL part BHEL part No 
Drg No ICF/SK-5-3 015 ,No,,,,,Alt.d ,,arrangement 2 2 00 ,,FRP Inner frame double sealed window door window ICF 
Drg.No.CG-11085 ,No,,,,,Alt.3 ,,Interface .150 ,,
DRG.NO.CONTR 9404-,No,,ITEM NO.6 ,,,ALT.7 ,,FOR 20 C 96 BOGIE 2 ,,WIDE JAW ADAPTER CASNUB OR LATEST 
,No,,,,,,,.No 4.14 ,,Center pivot liner gauge RITES manual BLC wagons 
,No,,,,,,,attached 1 ,,GHz Linux based thin client browser Specification 
DRG.NO CONTR-9404-,No,,ITEM NO.12 ,,,ALT.7 ,,LCCE 20 20 96 BOGIE 2 CONTR- 9404 CONTR- 7 ITEM .1 NO.1 .5 ,,BOLSTER SPRING OUTER FOR CANSUB OR LATEST OR LATEST 
,No,,,,,,,,,LED search light equivalent Model TROY EVO Britelite similar specification enclosed 
Drg.No ICF/STD-1-2-003 ,No,,,,,Alt f/3 ,,ICF 5 ,,Tube Centre Stiffner Complete 
,No,,,,,,,comprising 3 ,,Coach attention verification system RFID BASED items Specification attached 
,No,,,,,,,fig .4 fig .23 ,,Pedestal jaw gauge RITES manual BLC wagons 
,No,,,,,,,commissioning 203 Spec.No 2014 Spec.No 11 ,,Supply installation Double acting Bogie Mounted Brake Cylinder without Hand brake Provision confirming field trial GS Coaches Inspection item RDSO Note RDSO Approved sources considered 
,No,,,,SK alfa 2201 ,,,TK 4109 ,,Toner Photocopier machine Make KYOCERA Model TAPart code 
,No,,,,,,,No 54 ,,Short Body Bib cock per Jaquar Model Hindware Foam type 
Drg.No Sketch 96081 ,No,,,,Sketch 96082 ,Alt-5 ,,RDSO 14 Item-14 11 Item-11 3 Spec 41 Spec 97 ,,Protective cover Drain Cock Assembly c onfoirming MAT 
Drg.No C W/SK No 0435 ,No,,,,,,,,,Middle berth pin 
,No,,,,,,,PVC 12 IS 14927 part 2 ,,casing caping per JUVAS MODI Sudhakar AGK Note OEMS authorized dealer quote along authorization certificate Firms mention item shall enclose relevant technical leaflet 
,No,,,,,altech similar ,,,,One way Blowing tubes compatible Tayal tech Breath Alcohol Analyzer Make Tay 
Drg.No.RITES/TP 9405-,No,,Item No.11 ,,,Alt percent u20180 ,,latest 20 X 75 Pin 001 Item .12 percent 2019 ,,Bolt Nut Check Nut Washer Split 
,No,,,,,,,per 6149 per 1984 size 205 opening 26 ,,ISI marked adjustable spanner Nominal maximum Taparia make equivalent Everest Mekaster 
,No,,,,,,,range 0 range 300 LC 0.02 IS 3651 3651 2 Part-2 1985 Reaffirmed 2005 percent 2018 percent 2019 ,,Stainless steel Vernier Caliper measuring fine adjustment per percent 
,No,,,,,,,No 3 range 0 range 9990 ,,Water quality TDS meter equivalent model HM Digital TDS PPM 
,No,,,,,,,enclosed 17 -- 3 ,,Touch M make PALAS equivalent compatible existing CRIS per CRIS Specification 
,No,,,,,,,Boards 3 ,,Set circuit items KBI make Disc Brake system fitted LHB Coaches per detailed description per annexure attached 
,No,,,,,,,Board 5 ,,Set items consisting brake indicators Dump valve items MV items Faiveley make Disc Brake System fitted LHB Coaches per detailed description overleaf 
,No,,,,,,,capacity 2500 width 27 lenght 46 46 685 x 1100 ,,Hydraulic hand pallet truck fitted nylon wheels x Model HIS Genie Hydro Aritco 
,No,,,,,,,size 2500 x 800 x 2000 ,,Supply installation heavy duty adjustable pallet racks Height depth x Length along test certificate NABL accrediated lab Confirming European Standards design IS Specification stocking items per detailed description attached 
,No,,,,,,,size 110 Suitable 700 ,,Love Joy Coupling CAT Engine Radiator Fan DEMU DPC 
DRG.NO.CONTR 9404-,No,,ITEM NO.6 ,,,ALT.7 ,,FOR 20 C 96 BOGIE 2 ,,WIDE JAW ADAPTER CASNUB OR LATEST 
,No,,,,,,,consisting 61 ,,POH kit Alluminium body KE type KBI make Distributor valve items per part list Note Material 
,No,,,,,,,style 54 size 5 x 5 x 2 temperature 550 pressure 40 compliance 2712 compliance 1998 ,,Non metalic asbestos sheet champion equivalent Spitman Brand 5 x thickness Max Degrees C Max Specification The supplied asbestos sheet soft 
,No,,,,,,,size 100 Suitable 700 700HP 1400 ,,Love Joy Coupling CAT Engine Radiator Fan DEMU DPC 
Drg.No ICF/STD 6-3-008 ,No,,,,,Alt.n/Nil ,,,,Mirror Assembly 
Drg No ICF/5-4-276 ,No,,,,,,,No 12 No 13 No 14 No 15 No 16 No 17 ,,Lock Box Emergency openable window arrangement AC Coaches Lock Box Emergency openable window arrangement AC Coaches Alt C Lock Box Emergency openable window arrangement AC Coaches Alt C Item 
,No,,,,,,,part .70260 ,,Upper housing Automatic Twist Lock BLC Wagon sanrok enterprises 
,No,,,,,,,G 2333 No .1606 ,Qty 5 ,Control hand brake KBI make Disc Brake System fitted LHB Coaches per detailed CONTROL Make KBI Part 
,No,,,,,,,System 11 ,,Set Maint items Brake Item KBI make Disc Brake System fitted LHB Coaches per attached annexure 
Drg.no.ICF/SK-5-4-279 ,No,,,,,alt-e ,,unit 1220 unit 560 ,,Sealed Window Emergency window 
Drg No.SK-98003 ,No,,,Amendment No.03 ,,,,Reservoir 200 spec .02 spec 02 April 2010 Reservoir 200 spec .02 spec 02 April 2010 ,,Drain cock Assembly Auxiliary litres conforming RDSO Drain cock Assembly Auxiliary Reservoir 200 litres conforming RDSO spec No.02-ABR-02 April 2010 Appendix-C RDSO RDSO Approved vendors considered 
Drg no.RDSO SK-96081 ,No,,,Amendment No.03 ,,Alt-5 ,,Auxiliary 200 Spec .02 Spec 02 April 2010 ,,capacity together Drain cock assembly accessories conforming RDSO RDSO Note Offers RDSO approved vendors considered 
,No,,,,,,,Capacity 01 ,,Plastic Mug litre make CHETAN CELLO 
,No,,,,,,,CAP 100 ON 100 EP 10 ,,ELECTRONIC WEIGHTING SCALES KGS OF TECHNO MAX OR SIMILAR SPECIFICATION ENCLOSED 
,No,,,,,,,IS 2760 IS 80 GRADE 80 80t 18 IS 2760 IS 80 Grade 80 80T 40 size 160 x 300 shall 5 load 15 load 30 IS 2760 2760 80 Grade 80 ,,Double legged chain sling make Vankos company safe lift industries Thiele crossby Green received OEM authorized proof submitted along offer specification Double legged special alloy steel electric welded plated chain sling per dia Master link per IS 2760:80 ID length chain working Ton proof load TON bottom end eye hook per IS Grade 80 T per chain slings shall electric welded plated Test certificates shall produced govt approved list house proof load safe working load per IS connecting accessories attachments single make capacity duly embossed 
,No,,,,,,,G 2333 No .1606 ,Qty 5 ,Control hand brake KBI make Disc Brake System fitted LHB Coaches per detailed CONTROL Make KBI Part 
,No,,,,,,,Boards 3 ,,Set circuit items KBI make Disc Brake system fitted LHB Coaches per detailed description per annexure attached 
,No,,,,,,,size 2500 x 800 x 2000 ,,Supply installation heavy duty adjustable pallet racks Height depth x Length along test certificate NABL accrediated lab Confirming European Standards design IS Specification stocking items per detailed description attached 
,No,,,,,,,No 790040335 ,Qty 4 ,Set Flex Ball Cables Hand Brake Faiveley make Disc Brake System fitted LHB Coaches detailed Set Flex ball cables end connection Make FTIL Part Sets 
,No,,,,,,,size 100 Suitable 700 700HP 1400 ,,Love Joy Coupling Ventilation Fan DEMU DPC 
Drg.no.ICF/SK-5-4-279 ,No,,,,,alt-e ,,unit 1220 unit 560 ,,Sealed Window Emergency window 
Drg.No.T-0-7-603 ,No,,,,,Alt-A/15 ,,Link 1 ,,Anchor 
,No,,,,,,,System 11 ,,Set Maint items Brake Item KBI make Disc Brake System fitted LHB Coaches per attached annexure 
,No,,,,,,,No 12502140 No 139800 ,Qty:50 ,Overhauling kit Brake Cylinder Faiveley make disc Brake system fitted LHB Coaches per detailed description KIT FOR BRAKE CYLINDER Make FTIL Part 
,No,,,,,,,System 11 ,,Set Maint items Brake Item KBI make Disc Brake System fitted LHB Coaches per attached annexure 
,No,,,,,,,consisting 27 ,,Set Overhauling kits Triplate Compact panel type kits Faiveley make Disc Brake system fitted LHB Coaches per detailed description overleaf 
,No,,,,,,,Cocks 13 ,,Set condition based items Maint Items Isolating items Faiveley make Disc Brake system fitted LHB Coaches per detailed description attached annexure 
,No,,,,,,,consisting 11 ,,Set Must Change items Brake cylinder types kits Faiveley make Disc Brake system fitted LHB Coaches per detailed description per annexure attached 
,No,,,,,,,consisting 3 ,,Set items Speed Sensor types kits Faiveley make Disc Brake system fitted LHB Coaches per detailed description per annexure attached 
,No,,,,,,,No 790040335 ,Qty 4 ,Set Flex Ball Cables Hand Brake Faiveley make Disc Brake System fitted LHB Coaches detailed Set Flex ball cables end connection Make FTIL Part Sets 
Drg.No LW05116 ,No,,,,,Alt.Nil ,,,,Bracket Lateral Damper RCF 
,No,,,,,,,mesh 220 Amocam 220 ,,Servo oil MAKE MAK similar 
,No,,,,ski R3 ,,,@ 25 centigrade 0.95 centigrade -1.05 0.95-1.05 3 value 1 sol 6.5 6.5 7.5 ,,Glass cleaning agent brand Tajohnson diversey OC glass cleaning ECO lab Collin Specification Specific degree pH percent 
Drg.No CDO/HYB/Amenity/001/2015 ,Yes,,item No.1 ,,,,,item .2 qty 01 ,qty 03 ,Set bottle spray pump hand wash liquid per set consists nos Drawing copy attached 
Drg.No J T/g-0985/01 ,No,,,,,,,,,Trammel marking center line LHB FIAT BOGIE 
,No,,,,,,,socket 40 X 25 IS 1879 IS 2010 ,,GI Reducing MM TO 
,No,,,,,,,VALVE 25 SPECIFICATION 1 IS 6912 GR 2 STEEL 1367 STEEL 3 STEEL 1367 STEEL 4 STEEL 2062 STEEL 5 IS 6912 6912 6 EN 12086 EN 1 EN 7 IS 6912 6912 8 EN 12086 EN 1 EN 9 IS 6912 ,,BRASS BALL SCREWED FEMALE ENDS ZOLOTO L T AUDCO ONLY AS PER PART NAME AND MATERIAL AND SPECIFICATION STEM FORGED BRASS IS CARBON WASHER CARBON STEEL CARBON STEEL BODY GLAND NUT FORGED BRASS IS 6912 GLAND PACKING PTFE BS FORGED BRASS IS 6912 BODY SEAT RING PTFE BS EN FORGED BRASS IS 6912 TECHNICAL LEAFLET OF THE MODEL AND WARRANTY AND VALVE TEST CERTIFICATES TO BE SUBMITTED 
,No,,,,,,,gauge .03 G 80 ,,Knuckle nose wear stretch limit CBC gauge Ref RDSO manual 
,No,,,,,,,connector 20 Dia 2.5 ,,MM MHZ Normal single crystal probe tope entry BNC 
,Yes,,,,SK.K 3001 ,,,No 1 1.RCF-CC 64334 64334 2 ,,Hammer box Hammer per Drawing RDSO BREAKING WINDOW GLASS IN CASE OF EMERGENCY 
,No,,,,,,,@ 25 celsius 0.95 -- 1.07 pH 1 sol 8.0 -- 9.5 ,,Cleaning agent chequered plates Brand TASKI SPIRAL DIVERSEY SIGLA NEUTRAL OF ECOLAB Specification Specific percent -- 
,Yes,,,,,,,DRAWING 0 DRAWING 1 DRAWING 643 ,,RUBBER STOPPER PAD ON BOGIE FRAME FOR AXLE BOX CROWN CLEARANCE AS PER IRS 
Drg No CONTR 9404-8 ,No,,Item No.7 ,,,Alt.10 ,,RDSO 16 washer 4 ,,Bolt Nut spring dia split pin 
,No,,,,,,,size 24 x 36 inches 40 ,,Polythene garbage cover inches microns thickness specification per CPCB APPCB guide lines 
Drg.No.RITES/TP-9405-,No,,,,,Alt.8 ,,Wagon 001 ,,Slackless Draw Bar BLC latest 
,No,,,,,,,made 40 made 50 size 64 size 44 including 1 equal 0.5 ,,Disposable pillow covers GSM OZO free non woven fabric cms border two sides fabric greater material poly propylene spun bond 
Drg.No.CONTR-9404-,No,,,,,Alt.11 ,,RDSO 8 Item 6 ,,Top side bearer liner per latest 
DRG NO 02/,Yes,,,,,,,,,MODIFIED MULTIPURPOSE LOCKING KEY FOR COACH CBC OPERATING HANDLE AS OF COPY ENCLOSED 
Drg.no T-2-2-602 ,No,,,,,,,ICF 1 items 4 4 6 ,,Destruction tube end plates duly welded 
Drg.No ICF/SK-5-5039 ,No,,,,,,,,,Window glass toughened safety glass 
,No,,,,,,,size 25 x 150 IS 1239 IS 92 1239/92/part 11 ,,Nipple 
Drg No CONTR-9404-,No,,"Item Nos.2,3,4,5 ",,,Alt.1 ,,RDSO 8 ,,Centre pivot pin shackle lock lock pin washer BLC wagon per 
Drg.No C/LF-1885 ,No,,,,,Alt.6 ,,,,Wash hand sink D type stainless steel IRS 
,No,,,,,,,assembly .3 No 4009911 Model 300 ,,Pipe fuel injection cylinder FIP Engine Nozzle suit simpson Engine Part use Godrej Forklift Truck 
,No,,,,,,,IS 5725 IS 1970 ,,ISI marked dry wet bulb type psychrometer per Grade A 
,No,specn.No.IRS.S.96/2000 ,,,,,,Converter 24 input 18 input 36 put 1 ,,
,No,,,,,,,SIZE 60 X 81 ABOVE 40 OF 15 ,,POLYTHENE GARBAGE COVER CM CM MICRONS THICKNESS EACH SET CONSISTS OF BAGS SPECIFICATION AS PER CPCB AND APPCB GUIDE LINES 
Drg.No.WD-92081-,No,,,,,Alt-10 ,,wagon 57 s-57 12 ,,Nut lock BOBRN 
,No,,,,,,,PLATE 57 IS 3748 IS 90 HARDNESS 40 HARDNESS 45 ,,TYRE DEFECT GAUGE WAGON AS PER III OF MATERIAL TOOL STEEL TO HRC SUPPLY WITH CALIBRATION CERTIFICATE FROM NABL APPROVED LABS PACKED IN A CARRYING WOODEN BOX 
Drg.No.CONTR 9404-,No,,Item No.3 ,,,Alt-10 ,,wagon 10 ,,Bogie brake push rod car BLC 
,No,,,,,,,No 12502140 No 139800 ,Qty:50 ,Overhauling kit Brake Cylinder Faiveley make disc Brake system fitted LHB Coaches per detailed description KIT FOR BRAKE CYLINDER Make FTIL Part 
,No,,,,,,,consisting 2 ,,Set Electronic boards CPU Board Faiveley make Disc Brake system fitted LHB Coaches per detailed description per annexure attached 
,No,,,,,,,Sensor 2 ,,Set Speed items KBI make Disc Brake system fitted LHB Coaches per detailed description per annexure attached 
,No,,,,,,,Brake 3 ,,Set items Emergency items KBI make Disc Brake System Fitted LHB Coaches per annexure attached 
,No,,,,,,,Control 2197 G 2197 No .3083 ,Qty 5 ,hand Brake kbi make disc brake system fitted LHB coaches per detailed Flexball-Remote Control Make KBI Part 
